Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12AudioBusSendC2Ev","al::AudioBusSend::AudioBusSend(void)",false
"_ZN2al12AudioBusSend3setEff","al::AudioBusSend::set(float,float)",false
"_ZN2al12AudioBusSendC2Eff","al::AudioBusSend::AudioBusSend(float,float)",false
"_ZN2al12AudioBusSendC2EPKNS_21AudioBusOutDeviceInfoE","al::AudioBusSend::AudioBusSend(al::AudioBusOutDeviceInfo const*)",false
"_ZN2al12AudioBusSend5resetEv","al::AudioBusSend::reset(void)",false
"_ZNK2al12AudioBusSend13getAuxBusSendEN2nn3atk6AuxBusE","al::AudioBusSend::getAuxBusSend(nn::atk::AuxBus)const",false
"_ZN2al12AudioBusSend14setMainBusSendEf","al::AudioBusSend::setMainBusSend(float)",false
"_ZN2al12AudioBusSend3setERKS0_","al::AudioBusSend::set(al::AudioBusSend const&)",false
"_ZN2al12AudioBusSend13setAuxBusSendEN2nn3atk6AuxBusEf","al::AudioBusSend::setAuxBusSend(nn::atk::AuxBus,float)",false
"_ZN2al12AudioBusSend20setWithoutThrowValueERKS0_","al::AudioBusSend::setWithoutThrowValue(al::AudioBusSend const&)",false
"_ZNK2al12AudioBusSend12applyBusSendEPNS_14AcLSoundHandleE","al::AudioBusSend::applyBusSend(al::AcLSoundHandle *)const",false
"_ZN2al12AudioBusSend14mulMainBusSendEf","al::AudioBusSend::mulMainBusSend(float)",false
"_ZN2al12AudioBusSend13mulAuxBusSendEN2nn3atk6AuxBusEf","al::AudioBusSend::mulAuxBusSend(nn::atk::AuxBus,float)",false
"_ZNK2al12AudioBusSend3mulERS0_RKS0_","al::AudioBusSend::mul(al::AudioBusSend&,al::AudioBusSend const&)const",false
