Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18calcDecibelToRatioEf","al::calcDecibelToRatio(float)",false
"_ZN2al18calcRatioToDecibelEf","al::calcRatioToDecibel(float)",false
"_ZN2al25calcDecibelToRatioByTableEf","al::calcDecibelToRatioByTable(float)",false
"_ZN2al25calcRatioToDecibelByTableEf","al::calcRatioToDecibelByTable(float)",false
"_ZN2al22SoundMemoryPoolHandlerC2EPKc","al::SoundMemoryPoolHandler::SoundMemoryPoolHandler(char const*)",false
"_ZN2al22SoundMemoryPoolHandler33calcRequireBufferSizeFromFileSizeEi","al::SoundMemoryPoolHandler::calcRequireBufferSizeFromFileSize(int)",false
"_ZN2al22SoundArchiveWithStatusC2Ev","al::SoundArchiveWithStatus::SoundArchiveWithStatus(void)",false
"_ZN2al15SeadAudioPlayerC2EPNS_21AudioSoundArchiveInfoEPNS_26IAudioResourceInfoAccessorE","al::SeadAudioPlayer::SeadAudioPlayer(al::AudioSoundArchiveInfo *,al::IAudioResourceInfoAccessor *)",false
"_ZN2al15SeadAudioPlayer4initEv","al::SeadAudioPlayer::init(void)",false
"_ZN2al15SeadAudioPlayer13loadSoundItemERKN4sead14SafeStringBaseIcEEj","al::SeadAudioPlayer::loadSoundItem(sead::SafeStringBase<char> const&,unsigned int)",false
"_ZN2al15SeadAudioPlayer13loadSoundItemEjj","al::SeadAudioPlayer::loadSoundItem(unsigned int,unsigned int)",false
"_ZNK2al15SeadAudioPlayer17isLoadedSoundItemEjj","al::SeadAudioPlayer::isLoadedSoundItem(unsigned int,unsigned int)const",false
"_ZN2al15SeadAudioPlayer10startAudioEPNS_14AcLSoundHandleEj","al::SeadAudioPlayer::startAudio(al::AcLSoundHandle *,unsigned int)",false
"_ZNK2al15SeadAudioPlayer12getSoundTypeEj","al::SeadAudioPlayer::getSoundType(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer15getSoundArchiveEv","al::SeadAudioPlayer::getSoundArchive(void)const",false
"_ZNK2al15SeadAudioPlayer11getItemTypeEj","al::SeadAudioPlayer::getItemType(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer15getSoundArchiveEPKc","al::SeadAudioPlayer::getSoundArchive(char const*)const",false
"_ZNK2al15SeadAudioPlayer21readSequenceSoundInfoEPN2nn3atk12SoundArchive17SequenceSoundInfoEj","al::SeadAudioPlayer::readSequenceSoundInfo(nn::atk::SoundArchive::SequenceSoundInfo *,unsigned int)const",false
"_ZNK2al15SeadAudioPlayer15getBankInfoSizeEj","al::SeadAudioPlayer::getBankInfoSize(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer18getBankWaveArcSizeEj","al::SeadAudioPlayer::getBankWaveArcSize(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer14getWaveArcSizeEj","al::SeadAudioPlayer::getWaveArcSize(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer16getSoundItemSizeEj","al::SeadAudioPlayer::getSoundItemSize(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer16getBankTotalSizeEj","al::SeadAudioPlayer::getBankTotalSize(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer20getSequenceSoundSizeEj","al::SeadAudioPlayer::getSequenceSoundSize(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer19getSoundPlayerCountEv","al::SeadAudioPlayer::getSoundPlayerCount(void)const",false
"_ZN2al15SeadAudioPlayer25getSoundPlayerIdFromIndexEi","al::SeadAudioPlayer::getSoundPlayerIdFromIndex(int)",false
"_ZNK2al15SeadAudioPlayer22getAudioResourceVolumeEj","al::SeadAudioPlayer::getAudioResourceVolume(unsigned int)const",false
"_ZN2al15SeadAudioPlayer20setSoundPlayerVolumeEPKcf","al::SeadAudioPlayer::setSoundPlayerVolume(char const*,float)",false
"_ZN2al15SeadAudioPlayer20getSoundPlayerVolumeEPKc","al::SeadAudioPlayer::getSoundPlayerVolume(char const*)",false
"_ZNK2al15SeadAudioPlayer11isWaveSoundEPKc","al::SeadAudioPlayer::isWaveSound(char const*)const",false
"_ZNK2al15SeadAudioPlayer13isStreamSoundEPKc","al::SeadAudioPlayer::isStreamSound(char const*)const",false
"_ZNK2al15SeadAudioPlayer15isSequenceSoundEPKc","al::SeadAudioPlayer::isSequenceSound(char const*)const",false
"_ZNK2al15SeadAudioPlayer17isStereoWaveSoundEj","al::SeadAudioPlayer::isStereoWaveSound(unsigned int)const",false
"_ZNK2al15SeadAudioPlayer21getSeadAudioSoundHeapEv","al::SeadAudioPlayer::getSeadAudioSoundHeap(void)const",false
"_ZN2al15SeadAudioPlayer28trySetSoundMemoryPoolHandlerEPNS_22SoundMemoryPoolHandlerE","al::SeadAudioPlayer::trySetSoundMemoryPoolHandler(al::SoundMemoryPoolHandler *)",false
"_ZN2al15SeadAudioPlayer28tryGetSoundMemoryPoolHandlerEPKc","al::SeadAudioPlayer::tryGetSoundMemoryPoolHandler(char const*)",false
"_ZN2al15SeadAudioPlayer38tryGetSoundMemoryPoolHandlerByFilePathEPKc","al::SeadAudioPlayer::tryGetSoundMemoryPoolHandlerByFilePath(char const*)",false
"_ZN2al15SeadAudioPlayer28removeSoundMemoryPoolHandlerEPNS_22SoundMemoryPoolHandlerE","al::SeadAudioPlayer::removeSoundMemoryPoolHandler(al::SoundMemoryPoolHandler *)",false
"_ZN2al15SeadAudioPlayer20addAddonSoundArchiveEPNS_22SoundMemoryPoolHandlerE","al::SeadAudioPlayer::addAddonSoundArchive(al::SoundMemoryPoolHandler *)",false
"_ZN2al15SeadAudioPlayer23removeAddonSoundArchiveEPNS_22SoundMemoryPoolHandlerE","al::SeadAudioPlayer::removeAddonSoundArchive(al::SoundMemoryPoolHandler *)",false
"_ZN2al15SeadAudioPlayer27addMainSoundArchiveToHolderEPKc","al::SeadAudioPlayer::addMainSoundArchiveToHolder(char const*)",false
"_ZN2al15SeadAudioPlayer15isLoadedArchiveEPKc","al::SeadAudioPlayer::isLoadedArchive(char const*)",false
"_ZN2al15SeadAudioPlayer16isLoadedResourceEPKcS2_","al::SeadAudioPlayer::isLoadedResource(char const*,char const*)",false
"_ZNK4alsd16AudioPlayerMulti27checkDerivedRuntimeTypeInfoEPKN4sead15RuntimeTypeInfo9InterfaceE","alsd::AudioPlayerMulti::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const",false
"_ZNK4alsd16AudioPlayerMulti18getRuntimeTypeInfoEv","alsd::AudioPlayerMulti::getRuntimeTypeInfo(void)const",false
"_ZN2al15SeadAudioPlayerD0Ev","al::SeadAudioPlayer::~SeadAudioPlayer()",false
"_ZThn8_N2al15SeadAudioPlayerD1Ev","`non-virtual thunk to'al::SeadAudioPlayer::~SeadAudioPlayer()",false
"_ZThn8_N2al15SeadAudioPlayerD0Ev","`non-virtual thunk to'al::SeadAudioPlayer::~SeadAudioPlayer()",false
"_ZN2nn3atk18SoundArchivePlayer16detail_GetItemIdEPKc","nn::atk::SoundArchivePlayer::detail_GetItemId(char const*)",false
"_ZN2nn3atk18SoundArchivePlayer16detail_GetItemIdEPKcS3_","nn::atk::SoundArchivePlayer::detail_GetItemId(char const*,char const*)",false
"_ZN2nn3atk17AddonSoundArchiveD0Ev","nn::atk::AddonSoundArchive::~AddonSoundArchive()",false
"_ZNK2nn3atk12SoundArchive15FileAccessBeginEv","nn::atk::SoundArchive::FileAccessBegin(void)const",false
"_ZNK2nn3atk12SoundArchive13FileAccessEndEv","nn::atk::SoundArchive::FileAccessEnd(void)const",false
"_ZNK2nn3atk17AddonSoundArchive7IsAddonEv","nn::atk::AddonSoundArchive::IsAddon(void)const",false
"_ZNK4sead15RuntimeTypeInfo6DeriveIN4alsd11AudioPlayerEE9isDerivedEPKNS0_9InterfaceE","sead::RuntimeTypeInfo::Derive<alsd::AudioPlayer>::isDerived(sead::RuntimeTypeInfo::Interface const*)const",false
