Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al26IAudioResourceInfoAccessor14calcResourceIdEjPKcPKNS_21AudioSoundArchiveInfoE","al::IAudioResourceInfoAccessor::calcResourceId(unsigned int,char const*,al::AudioSoundArchiveInfo const*)",false
"_ZN2al22SeResourceInfoAccessorC1EPKNS_22AudioInfoListWithPartsINS_22SeResourceSpecificInfoEEEPKNS_21AudioSoundArchiveInfoE","al::SeResourceInfoAccessor::SeResourceInfoAccessor(al::AudioInfoListWithParts<al::SeResourceSpecificInfo> const*,al::AudioSoundArchiveInfo const*)",false
"_ZN2al23BgmResourceInfoAccessorC2EPKNS_22AudioInfoListWithPartsINS_15BgmResourceInfoEEEPKNS_21AudioSoundArchiveInfoE","al::BgmResourceInfoAccessor::BgmResourceInfoAccessor(al::AudioInfoListWithParts<al::BgmResourceInfo> const*,al::AudioSoundArchiveInfo const*)",false
"_ZNK2al22SeResourceInfoAccessor14findResourceIdEPKc","al::SeResourceInfoAccessor::findResourceId(char const*)const",false
"_ZNK2al22SeResourceInfoAccessor22getResourceIdFromIndexEi","al::SeResourceInfoAccessor::getResourceIdFromIndex(int)const",false
"_ZNK2al22SeResourceInfoAccessor15getResourceNameEj","al::SeResourceInfoAccessor::getResourceName(unsigned int)const",false
"_ZNK2al22SeResourceInfoAccessor24getResourceNameFromIndexEi","al::SeResourceInfoAccessor::getResourceNameFromIndex(int)const",false
"_ZNK2al22SeResourceInfoAccessor14getResourceNumEv","al::SeResourceInfoAccessor::getResourceNum(void)const",false
"_ZNK2al22SeResourceInfoAccessor22getResourceIndexFromIdEj","al::SeResourceInfoAccessor::getResourceIndexFromId(unsigned int)const",false
"_ZNK2al22SeResourceInfoAccessor21getArchiveIndexFromIdEj","al::SeResourceInfoAccessor::getArchiveIndexFromId(unsigned int)const",false
"_ZNK2al22SeResourceInfoAccessor14getArchiveNameEj","al::SeResourceInfoAccessor::getArchiveName(unsigned int)const",false
"_ZNK2al23BgmResourceInfoAccessor14findResourceIdEPKc","al::BgmResourceInfoAccessor::findResourceId(char const*)const",false
"_ZNK2al23BgmResourceInfoAccessor22getResourceIdFromIndexEi","al::BgmResourceInfoAccessor::getResourceIdFromIndex(int)const",false
"_ZNK2al23BgmResourceInfoAccessor15getResourceNameEj","al::BgmResourceInfoAccessor::getResourceName(unsigned int)const",false
"_ZNK2al23BgmResourceInfoAccessor24getResourceNameFromIndexEi","al::BgmResourceInfoAccessor::getResourceNameFromIndex(int)const",false
"_ZNK2al23BgmResourceInfoAccessor14getResourceNumEv","al::BgmResourceInfoAccessor::getResourceNum(void)const",false
"_ZNK2al23BgmResourceInfoAccessor22getResourceIndexFromIdEj","al::BgmResourceInfoAccessor::getResourceIndexFromId(unsigned int)const",false
"_ZNK2al23BgmResourceInfoAccessor21getArchiveIndexFromIdEj","al::BgmResourceInfoAccessor::getArchiveIndexFromId(unsigned int)const",false
"_ZNK2al23BgmResourceInfoAccessor14getArchiveNameEj","al::BgmResourceInfoAccessor::getArchiveName(unsigned int)const",false
"_ZNK2al22AudioInfoListWithPartsINS_26AudioAddonSoundArchiveInfoEE15tryGetInfoIndexEPKc","al::AudioInfoListWithParts<al::AudioAddonSoundArchiveInfo>::tryGetInfoIndex(char const*)const",false
"_ZN2al13AudioInfoListINS_15BgmResourceInfoEE16compareInfoAndIdEPKS1_PKj","al::AudioInfoList<al::BgmResourceInfo>::compareInfoAndId(al::BgmResourceInfo const*,unsigned int const*)",false
