Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16AudioSystemDebugC2Ev","al::AudioSystemDebug::AudioSystemDebug(void)",false
"_ZN2al16AudioSystemDebug6updateEv","al::AudioSystemDebug::update(void)",false
"_ZNK2al16AudioSystemDebug4drawEv","al::AudioSystemDebug::draw(void)const",false
"_ZN2al19AudioEffectDataBase6createEPKcS2_","al::AudioEffectDataBase::create(char const*,char const*)",false
"_ZN2al19AudioEffectDataBaseC1EPNS_8ResourceEPKc","al::AudioEffectDataBase::AudioEffectDataBase(al::Resource *,char const*)",false
"_ZN2al19createAudioInfoListINS_19AudioBusSettingInfoEEEPNS_22AudioInfoListWithPartsIT_EERKNS_9ByamlIterEi","al::AudioInfoListWithParts<al::AudioBusSettingInfo> * al::createAudioInfoList<al::AudioBusSettingInfo>(al::ByamlIter const&,int)",false
"_ZN2al19createAudioInfoListINS_15AudioEffectInfoEEEPNS_22AudioInfoListWithPartsIT_EERKNS_9ByamlIterEi","al::AudioInfoListWithParts<al::AudioEffectInfo> * al::createAudioInfoList<al::AudioEffectInfo>(al::ByamlIter const&,int)",false
"_ZN2al26AudioInfoListCreateFunctorINS_19AudioBusSettingInfoEE30tryCreateAudioInfoAndSetToListERKNS_9ByamlIterE","al::AudioInfoListCreateFunctor<al::AudioBusSettingInfo>::tryCreateAudioInfoAndSetToList(al::ByamlIter const&)",false
"_ZN2al26AudioInfoListCreateFunctorINS_15AudioEffectInfoEE30tryCreateAudioInfoAndSetToListERKNS_9ByamlIterE","al::AudioInfoListCreateFunctor<al::AudioEffectInfo>::tryCreateAudioInfoAndSetToList(al::ByamlIter const&)",false
"_ZN21alAudioEffectFunction9isMainBusEPKc","alAudioEffectFunction::isMainBus(char const*)",false
"_ZN21alAudioEffectFunction8getBusIdEPKc","alAudioEffectFunction::getBusId(char const*)",false
"_ZN21alAudioEffectFunction17getBusIdFromIndexEi","alAudioEffectFunction::getBusIdFromIndex(int)",false
"_ZN21alAudioEffectFunction11getBusIndexEPKc","alAudioEffectFunction::getBusIndex(char const*)",false
"_ZN21alAudioEffectFunction17getBusIndexFromIdEN2nn3atk6AuxBusE","alAudioEffectFunction::getBusIndexFromId(nn::atk::AuxBus)",false
"_ZN21alAudioEffectFunction19getBusNameFromIndexEi","alAudioEffectFunction::getBusNameFromIndex(int)",false
"_ZN21alAudioEffectFunction16getBusNameFromIdEN2nn3atk6AuxBusE","alAudioEffectFunction::getBusNameFromId(nn::atk::AuxBus)",false
"_ZN21alAudioEffectFunction14getOutDeviceIdEPKc","alAudioEffectFunction::getOutDeviceId(char const*)",false
"_ZN21alAudioEffectFunction23getOutDeviceIdFromIndexEi","alAudioEffectFunction::getOutDeviceIdFromIndex(int)",false
"_ZN21alAudioEffectFunction17getOutDeviceIndexEPKc","alAudioEffectFunction::getOutDeviceIndex(char const*)",false
"_ZN21alAudioEffectFunction25getOutDeviceNameFromIndexEi","alAudioEffectFunction::getOutDeviceNameFromIndex(int)",false
"_ZN21alAudioEffectFunction22getOutDeviceNameFromIdEN2nn3atk12OutputDeviceE","alAudioEffectFunction::getOutDeviceNameFromId(nn::atk::OutputDevice)",false
"_ZN21alAudioEffectFunction14getSubMixIndexEPKN2al19AudioBusSettingInfoEPKNS0_23AudioSubMixInfoAccessorE","alAudioEffectFunction::getSubMixIndex(al::AudioBusSettingInfo const*,al::AudioSubMixInfoAccessor const*)",false
"_ZN2al27AudioRequestKeeperSyncedBgmC2Ev","al::AudioRequestKeeperSyncedBgm::AudioRequestKeeperSyncedBgm(void)",false
"_ZN2al27AudioRequestKeeperSyncedBgm4initEPKNS_13AudioDirectorE","al::AudioRequestKeeperSyncedBgm::init(al::AudioDirector const*)",false
"_ZN2al27AudioRequestKeeperSyncedBgm6updateEv","al::AudioRequestKeeperSyncedBgm::update(void)",false
"_ZN2al27AudioRequestKeeperSyncedBgm10requestBgmENS_14BgmPlayingTypeERKNS_17BgmPlayingRequestEi","al::AudioRequestKeeperSyncedBgm::requestBgm(al::BgmPlayingType,al::BgmPlayingRequest const&,int)",false
"_ZNK2al27AudioRequestKeeperSyncedBgm14getAudioKeeperEv","al::AudioRequestKeeperSyncedBgm::getAudioKeeper(void)const",false
"_ZN4alsd16AudioPlayerMultiC2Ev","alsd::AudioPlayerMulti::AudioPlayerMulti(void)",false
"_ZN4alsd16AudioPlayerMultiD2Ev","alsd::AudioPlayerMulti::~AudioPlayerMulti()",false
"_ZN4alsd16AudioPlayerMulti7stopAllEi","alsd::AudioPlayerMulti::stopAll(int)",false
"_ZThn8_N4alsd16AudioPlayerMultiD1Ev","`non-virtual thunk to'alsd::AudioPlayerMulti::~AudioPlayerMulti()",false
"_ZN4alsd16AudioPlayerMultiD0Ev","alsd::AudioPlayerMulti::~AudioPlayerMulti()",false
"_ZThn8_N4alsd16AudioPlayerMultiD0Ev","`non-virtual thunk to'alsd::AudioPlayerMulti::~AudioPlayerMulti()",false
"_ZN4alsd16AudioPlayerMulti10initializeEv","alsd::AudioPlayerMulti::initialize(void)",false
"_ZN4alsd16AudioPlayerMulti8finalizeEv","alsd::AudioPlayerMulti::finalize(void)",false
"_ZNK4alsd16AudioPlayerMulti12isNwEnabled_Ev","alsd::AudioPlayerMulti::isNwEnabled_(void)const",false
"_ZN4alsd16AudioPlayerMulti16destroySoundHeapEv","alsd::AudioPlayerMulti::destroySoundHeap(void)",false
"_ZN4alsd16AudioPlayerMulti22shutdownDataManagementEv","alsd::AudioPlayerMulti::shutdownDataManagement(void)",false
"_ZN4alsd16AudioPlayerMulti4calcEv","alsd::AudioPlayerMulti::calc(void)",false
"_ZN4alsd16AudioPlayerMulti10startSoundEPNS_11SoundHandleEj","alsd::AudioPlayerMulti::startSound(alsd::SoundHandle *,unsigned int)",false
"_ZN4alsd16AudioPlayerMulti10startSoundEPNS_11SoundHandleEPKc","alsd::AudioPlayerMulti::startSound(alsd::SoundHandle *,char const*)",false
"_ZN4alsd16AudioPlayerMulti9holdSoundEPNS_11SoundHandleEj","alsd::AudioPlayerMulti::holdSound(alsd::SoundHandle *,unsigned int)",false
"_ZN4alsd16AudioPlayerMulti9holdSoundEPNS_11SoundHandleEPKc","alsd::AudioPlayerMulti::holdSound(alsd::SoundHandle *,char const*)",false
"_ZNK4alsd16AudioPlayerMulti13getSoundCountEv","alsd::AudioPlayerMulti::getSoundCount(void)const",false
"_ZNK4alsd16AudioPlayerMulti12getSoundNameEj","alsd::AudioPlayerMulti::getSoundName(unsigned int)const",false
"_ZNK4alsd16AudioPlayerMulti10getSoundIdEPKc","alsd::AudioPlayerMulti::getSoundId(char const*)const",false
"_ZN4alsd16AudioPlayerMulti8pauseAllEi","alsd::AudioPlayerMulti::pauseAll(int)",false
"_ZN4alsd16AudioPlayerMulti12setPauseAll_Eib","alsd::AudioPlayerMulti::setPauseAll_(int,bool)",false
"_ZN4alsd16AudioPlayerMulti10unpauseAllEi","alsd::AudioPlayerMulti::unpauseAll(int)",false
