Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23BgmFadeVolumeControllerC1EPNS_14AcLSoundHandleE","al::BgmFadeVolumeController::BgmFadeVolumeController(al::AcLSoundHandle *)",false
"_ZN2al23BgmFadeVolumeController6updateEv","al::BgmFadeVolumeController::update(void)",false
"_ZN2al23BgmFadeVolumeController16getCurFadeVolumeEv","al::BgmFadeVolumeController::getCurFadeVolume(void)",false
"_ZN2al23BgmFadeVolumeController6fadeInEi","al::BgmFadeVolumeController::fadeIn(int)",false
"_ZN2al23BgmFadeVolumeController11changeFaderEfi","al::BgmFadeVolumeController::changeFader(float,int)",false
"_ZN2al23BgmFadeVolumeController7fadeOutEi","al::BgmFadeVolumeController::fadeOut(int)",false
"_ZNK2al23BgmFadeVolumeController12isFadeOutNowEv","al::BgmFadeVolumeController::isFadeOutNow(void)const",false
"_ZNK2al23BgmFadeVolumeController11isFadeInNowEv","al::BgmFadeVolumeController::isFadeInNow(void)const",false
"_ZNK2al23BgmFadeVolumeController17isFinishedFadeOutEv","al::BgmFadeVolumeController::isFinishedFadeOut(void)const",false
"_ZN2al3BgmC2Ev","al::Bgm::Bgm(void)",false
"_ZN2al3Bgm4initEPKNS_11BgmDataBaseEPNS_15SeadAudioPlayerE","al::Bgm::init(al::BgmDataBase const*,al::SeadAudioPlayer *)",false
"_ZN2al3Bgm6updateEv","al::Bgm::update(void)",false
"sub_7100A463FC","",false
"_ZN2al3Bgm22changeSpeakerParamModeEbb","al::Bgm::changeSpeakerParamMode(bool,bool)",false
"_ZNK2al3Bgm9isRunningEv","al::Bgm::isRunning(void)const",false
"_ZNK2al3Bgm7isPauseEv","al::Bgm::isPause(void)const",false
"_ZN2al3Bgm12stopBgmLocalEb","al::Bgm::stopBgmLocal(bool)",false
"_ZN2al3Bgm5resetEPKNS_15BgmResourceInfoEPKNS_21BgmResourceSuffixInfoE","al::Bgm::reset(al::BgmResourceInfo const*,al::BgmResourceSuffixInfo const*)",false
"_ZN2al3Bgm8startBgmEPKNS_15BgmResourceInfoEPKNS_21BgmResourceSuffixInfoEliib","al::Bgm::startBgm(al::BgmResourceInfo const*,al::BgmResourceSuffixInfo const*,long,int,int,bool)",false
"_ZN2al3Bgm13startBgmLocalEPKNS_15BgmResourceInfoEPKNS_21BgmResourceSuffixInfoEliibb","al::Bgm::startBgmLocal(al::BgmResourceInfo const*,al::BgmResourceSuffixInfo const*,long,int,int,bool,bool)",false
"_ZN2al3Bgm20startBgmBySuffixLoopEPKNS_15BgmResourceInfoEPKNS_21BgmResourceSuffixInfoEliib","al::Bgm::startBgmBySuffixLoop(al::BgmResourceInfo const*,al::BgmResourceSuffixInfo const*,long,int,int,bool)",false
"_ZN2al3Bgm10prepareBgmEPKNS_15BgmResourceInfoEPKNS_21BgmResourceSuffixInfoEliibb","al::Bgm::prepareBgm(al::BgmResourceInfo const*,al::BgmResourceSuffixInfo const*,long,int,int,bool,bool)",false
"_ZN2al3Bgm16startPreparedBgmERKNS_17BgmPlayingRequestE","al::Bgm::startPreparedBgm(al::BgmPlayingRequest const&)",false
"_ZN2al3Bgm31startPreparedBgmExistingRequestEv","al::Bgm::startPreparedBgmExistingRequest(void)",false
"_ZN2al3Bgm17initBgmDspModulesEPNS_14AcLSoundHandleE","al::Bgm::initBgmDspModules(al::AcLSoundHandle *)",false
"_ZN2al3Bgm8pauseBgmEi","al::Bgm::pauseBgm(int)",false
"_ZN2al3Bgm9resumeBgmEi","al::Bgm::resumeBgm(int)",false
"_ZN2al3Bgm25resumeBgmFromThisPositionEli","al::Bgm::resumeBgmFromThisPosition(long,int)",false
"_ZN2al3Bgm18stopBgmImmediatelyEb","al::Bgm::stopBgmImmediately(bool)",false
"_ZN2al3Bgm7stopBgmEi","al::Bgm::stopBgm(int)",false
"_ZN2al3Bgm20resumeBgmFromFadeOutEi","al::Bgm::resumeBgmFromFadeOut(int)",false
"_ZNK2al3Bgm9isRunningEPKNS_15BgmResourceInfoE","al::Bgm::isRunning(al::BgmResourceInfo const*)const",false
"_ZNK2al3Bgm12isFadeOutNowEv","al::Bgm::isFadeOutNow(void)const",false
"_ZNK2al3Bgm11isFadeInNowEv","al::Bgm::isFadeInNow(void)const",false
"_ZN2al3Bgm27isEnableResumingFromFadeOutEPKNS_15BgmResourceInfoE","al::Bgm::isEnableResumingFromFadeOut(al::BgmResourceInfo const*)",false
"_ZNK2al3Bgm20getCurSamplePositionEv","al::Bgm::getCurSamplePosition(void)const",false
"_ZN2al3Bgm23tryGetCurSamplePositionEPl","al::Bgm::tryGetCurSamplePosition(long *)",false
"_ZN2al3Bgm22getRunningResourceNameEv","al::Bgm::getRunningResourceName(void)",false
"_ZN2al3Bgm30getRunningResourceCategoryNameEv","al::Bgm::getRunningResourceCategoryName(void)",false
"_ZNK2al3Bgm19isEnableChangeTrackEv","al::Bgm::isEnableChangeTrack(void)const",false
"_ZN2al3Bgm11changeTrackEifi","al::Bgm::changeTrack(int,float,int)",false
"_ZN2al3Bgm12changeRegionERKNS_21BgmRegionChangeParamsE","al::Bgm::changeRegion(al::BgmRegionChangeParams const&)",false
"_ZN2al3Bgm16addParamsChangerEPNS_17IBgmParamsChangerE","al::Bgm::addParamsChanger(al::IBgmParamsChanger *)",false
"_ZN2al3Bgm19removeParamsChangerERKN4sead13FixedPtrArrayINS_17IBgmParamsChangerELi5EEE","al::Bgm::removeParamsChanger(sead::FixedPtrArray<al::IBgmParamsChanger,5> const&)",false
"_ZN2al3Bgm12changeParamsEv","al::Bgm::changeParams(void)",false
