Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19CameraAngleCtrlInfoC2Ev","al::CameraAngleCtrlInfo::CameraAngleCtrlInfo(void)",false
"_ZN2al19CameraAngleCtrlInfo19createWithRelativeHEv","al::CameraAngleCtrlInfo::createWithRelativeH(void)",false
"_ZN2al19CameraAngleCtrlInfo4loadERKNS_9ByamlIterE","al::CameraAngleCtrlInfo::load(al::ByamlIter const&)",false
"_ZN2al19CameraAngleCtrlInfo5startEf","al::CameraAngleCtrlInfo::start(float)",false
"_ZN2al19CameraAngleCtrlInfo6updateERKN4sead7Vector2IfEEfb","al::CameraAngleCtrlInfo::update(sead::Vector2<float> const&,float,bool)",false
"_ZN2al19CameraAngleCtrlInfo24receiveRequestFromObjectERKNS_23CameraObjectRequestInfoE","al::CameraAngleCtrlInfo::receiveRequestFromObject(al::CameraObjectRequestInfo const&)",false
"_ZN2al19CameraAngleCtrlInfo9setAngleVEf","al::CameraAngleCtrlInfo::setAngleV(float)",false
"_ZNK2al19CameraAngleCtrlInfo14isFixByRangeHVEv","al::CameraAngleCtrlInfo::isFixByRangeHV(void)const",false
"_ZNK2al19CameraAngleCtrlInfo18isResetStartTimingEv","al::CameraAngleCtrlInfo::isResetStartTiming(void)const",false
"_ZNK2al19CameraAngleCtrlInfo15getMaxResetStepEv","al::CameraAngleCtrlInfo::getMaxResetStep(void)const",false
