Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19SimpleCameraShooterC2EPKc","al::SimpleCameraShooter::SimpleCameraShooter(char const*)",false
"_ZN2al19SimpleCameraShooter27calcAspectRatioByScreenSizeEii","al::SimpleCameraShooter::calcAspectRatioByScreenSize(int,int)",false
"_ZNK2al19SimpleCameraShooter13calcCameraPosEPN4sead7Vector3IfEEPKNS_13IUseCollisionE","al::SimpleCameraShooter::calcCameraPos(sead::Vector3<float> *,al::IUseCollision const*)const",false
"_ZNK2al19SimpleCameraShooter12calcFrontDirEPN4sead7Vector3IfEE","al::SimpleCameraShooter::calcFrontDir(sead::Vector3<float> *)const",false
"_ZNK2al19SimpleCameraShooter14checkCollisionEfPKNS_13IUseCollisionE","al::SimpleCameraShooter::checkCollision(float,al::IUseCollision const*)const",false
"_ZNK2al19SimpleCameraShooter24applyCameraWithCollisionEPN4sead12LookAtCameraEPKNS_13IUseCollisionE","al::SimpleCameraShooter::applyCameraWithCollision(sead::LookAtCamera *,al::IUseCollision const*)const",false
"_ZNK2al19SimpleCameraShooter15applyProjectionEPN4sead21PerspectiveProjectionE","al::SimpleCameraShooter::applyProjection(sead::PerspectiveProjection *)const",false
"_ZN2al19SimpleCameraShooter6lookAtERKN4sead7Vector3IfEE","al::SimpleCameraShooter::lookAt(sead::Vector3<float> const&)",false
"_ZN2al19SimpleCameraShooter15applyLimitationEv","al::SimpleCameraShooter::applyLimitation(void)",false
"_ZN2al19SimpleCameraShooter9rotateYawEf","al::SimpleCameraShooter::rotateYaw(float)",false
"_ZN2al19SimpleCameraShooter11rotatePitchEf","al::SimpleCameraShooter::rotatePitch(float)",false
