Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19GraphicsQualityMode5text_Ei","al::GraphicsQualityMode::text_(int)",false
"_ZN4sead15FixedSafeStringILi37EED0Ev","sead::FixedSafeString<37>::~FixedSafeString()",false
"_ZN4sead15FixedSafeStringILi37EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeString<37>::operator=(sead::SafeStringBase<char> const&)",false
"_ZN4sead19FixedSafeStringBaseIcLi37EED0Ev","sead::FixedSafeStringBase<char,37>::~FixedSafeStringBase()",false
"_ZN4sead19FixedSafeStringBaseIcLi37EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeStringBase<char,37>::operator=(sead::SafeStringBase<char> const&)",false
"sub_7100A57F20","",false
"sub_7100A57F28","",false
"sub_7100A57F58","",false
"sub_7100A57F60","",false
"_ZN2al19GraphicsQualityInfoC2Ev","al::GraphicsQualityInfo::GraphicsQualityInfo(void)",false
"_ZN2al19GraphicsQualityInfo17applyProjectParamEPKNS_20GraphicsQualityParamE","al::GraphicsQualityInfo::applyProjectParam(al::GraphicsQualityParam const*)",false
"_ZN2al19GraphicsQualityInfo15applyStageParamEPKNS_20GraphicsQualityParamE","al::GraphicsQualityInfo::applyStageParam(al::GraphicsQualityParam const*)",false
"_ZN2al19GraphicsQualityInfo21applyStageCommonParamEPKNS_20GraphicsQualityParamE","al::GraphicsQualityInfo::applyStageCommonParam(al::GraphicsQualityParam const*)",false
"_ZN2al19GraphicsQualityInfo18applyPerfAreaParamEPKNS_16GpuPerfAreaParamE","al::GraphicsQualityInfo::applyPerfAreaParam(al::GpuPerfAreaParam const*)",false
"_ZN2al19GraphicsQualityInfo16applyReduceParamEPKNS_20GraphicsQualityParamEii","al::GraphicsQualityInfo::applyReduceParam(al::GraphicsQualityParam const*,int,int)",false
"_ZNK2al19GraphicsQualityInfo23getLppReduceBufferScaleEv","al::GraphicsQualityInfo::getLppReduceBufferScale(void)const",false
"_ZNK2al19GraphicsQualityInfo20calcRenderResolutionEPN4sead7Vector2IiEERKS3_RKNS_8ViewInfoE","al::GraphicsQualityInfo::calcRenderResolution(sead::Vector2<int> *,sead::Vector2<int> const&,al::ViewInfo const&)const",false
"_ZNK2al19GraphicsQualityInfo22calcPseudoAAProjOffsetEPN4sead7Vector2IfEEii","al::GraphicsQualityInfo::calcPseudoAAProjOffset(sead::Vector2<float> *,int,int)const",false
