Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16EffectPrefixType5text_Ei","al::EffectPrefixType::text_(int)",false
"_ZN2al18EffectCameraHolderC2Ev","al::EffectCameraHolder::EffectCameraHolder(void)",false
"_ZN2al18EffectCameraHolder17setCameraDirectorEPNS_14CameraDirectorE","al::EffectCameraHolder::setCameraDirector(al::CameraDirector *)",false
"_ZNK2al18EffectCameraHolder13getViewMtxPtrEv","al::EffectCameraHolder::getViewMtxPtr(void)const",false
"_ZNK2al18EffectCameraHolder7getFovyEv","al::EffectCameraHolder::getFovy(void)const",false
"_ZNK2al18EffectCameraHolder12getCameraPosEv","al::EffectCameraHolder::getCameraPos(void)const",false
"_ZNK2al18EffectCameraHolder25calcScreenPosFromWorldPosEPN4sead7Vector2IfEERKNS1_7Vector3IfEE","al::EffectCameraHolder::calcScreenPosFromWorldPos(sead::Vector2<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al18EffectCameraHolder21calcFollowScaleByFovyEv","al::EffectCameraHolder::calcFollowScaleByFovy(void)const",false
"_ZNK2al18EffectCameraHolder21calcFarClipRateByFovyEv","al::EffectCameraHolder::calcFarClipRateByFovy(void)const",false
"_ZNK2al18EffectCameraHolder19tryMakeBillboardMtxEPN4sead8Matrix34IfEERKNS1_7Vector3IfEE","al::EffectCameraHolder::tryMakeBillboardMtx(sead::Matrix34<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al18EffectCameraHolder20tryMakeYBillboardMtxEPN4sead8Matrix34IfEERKNS1_7Vector3IfEE","al::EffectCameraHolder::tryMakeYBillboardMtx(sead::Matrix34<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al18EffectCameraHolder21tryMakeCameraFrontMtxEPN4sead8Matrix34IfEE","al::EffectCameraHolder::tryMakeCameraFrontMtx(sead::Matrix34<float> *)const",false
"sub_7100A5B274","",false
