Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13EffectEmitterC2EPKNS_16EffectSystemInfoEPNS_18EffectResourceInfoEi","al::EffectEmitter::EffectEmitter(al::EffectSystemInfo const*,al::EffectResourceInfo *,int)",false
"_ZN2al13EffectEmitter10initMtxPtrENS_11JointMtxPtrE","al::EffectEmitter::initMtxPtr(al::JointMtxPtr)",false
"_ZN2al13EffectEmitter12updateMtxPtrENS_11JointMtxPtrE","al::EffectEmitter::updateMtxPtr(al::JointMtxPtr)",false
"_ZN2al13EffectEmitter13createEmitterEPKNS_11JointMtxPtrEPKN4sead7Vector3IfEEiim","al::EffectEmitter::createEmitter(al::JointMtxPtr const*,sead::Vector3<float> const*,int,int,unsigned long)",false
"_ZN2al13EffectEmitter16tryDeleteEmitterEb","al::EffectEmitter::tryDeleteEmitter(bool)",false
"_ZN2al13EffectEmitter15tryDeleteHandleEPN4sead4ptcl6HandleEb","al::EffectEmitter::tryDeleteHandle(sead::ptcl::Handle *,bool)",false
"_ZN2al13EffectEmitter18setStopCalcAndDrawEb","al::EffectEmitter::setStopCalcAndDraw(bool)",false
"_ZNK2al13EffectEmitter8isActiveEv","al::EffectEmitter::isActive(void)const",false
"_ZNK2al13EffectEmitter12isEnableEmitEv","al::EffectEmitter::isEnableEmit(void)const",false
"_ZNK2al13EffectEmitter12isFirstFrameEv","al::EffectEmitter::isFirstFrame(void)const",false
"_ZN2al13EffectEmitter15resetFirstFrameEv","al::EffectEmitter::resetFirstFrame(void)",false
