Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10FileLoaderC2Ei","al::FileLoader::FileLoader(int)",false
"_ZN2al10FileLoader18listSubdirectoriesEPN4sead15FixedSafeStringILi256EEEiPKc","al::FileLoader::listSubdirectories(sead::FixedSafeString<256> *,int,char const*)",false
"sub_7100A5EC7C","",false
"_ZN2al10FileLoader9listFilesEPN4sead15FixedSafeStringILi256EEEiPKcS6_","al::FileLoader::listFiles(sead::FixedSafeString<256> *,int,char const*,char const*)",false
"sub_7100A5EC98","",false
"_ZNK2al10FileLoader11isExistFileERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE","al::FileLoader::isExistFile(sead::SafeStringBase<char> const&,sead::FileDevice *)const",false
"_ZNK2al10FileLoader13getFileDeviceERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE","al::FileLoader::getFileDevice(sead::SafeStringBase<char> const&,sead::FileDevice *)const",false
"_ZNK2al10FileLoader14isExistArchiveERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE","al::FileLoader::isExistArchive(sead::SafeStringBase<char> const&,sead::FileDevice *)const",false
"_ZNK2al10FileLoader16isExistDirectoryERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE","al::FileLoader::isExistDirectory(sead::SafeStringBase<char> const&,sead::FileDevice *)const",false
"_ZNK2al10FileLoader11getFileSizeERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE","al::FileLoader::getFileSize(sead::SafeStringBase<char> const&,sead::FileDevice *)const",false
"_ZN2al10FileLoader8loadFileERKN4sead14SafeStringBaseIcEEiPNS1_10FileDeviceE","al::FileLoader::loadFile(sead::SafeStringBase<char> const&,int,sead::FileDevice *)",false
"_ZN2al10FileLoader19tryLoadFileToBufferERKN4sead14SafeStringBaseIcEEPhjiPNS1_10FileDeviceE","al::FileLoader::tryLoadFileToBuffer(sead::SafeStringBase<char> const&,unsigned char *,unsigned int,int,sead::FileDevice *)",false
"_ZN2al10FileLoader11loadArchiveERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE","al::FileLoader::loadArchive(sead::SafeStringBase<char> const&,sead::FileDevice *)",false
"_ZN2al10FileLoader16loadArchiveLocalERKN4sead14SafeStringBaseIcEEPKcPNS1_10FileDeviceE","al::FileLoader::loadArchiveLocal(sead::SafeStringBase<char> const&,char const*,sead::FileDevice *)",false
"_ZN2al10FileLoader18loadArchiveWithExtERKN4sead14SafeStringBaseIcEEPKcPNS1_10FileDeviceE","al::FileLoader::loadArchiveWithExt(sead::SafeStringBase<char> const&,char const*,sead::FileDevice *)",false
"_ZN2al10FileLoader21tryRequestLoadArchiveERKN4sead14SafeStringBaseIcEEPNS1_4HeapEPNS1_10FileDeviceE","al::FileLoader::tryRequestLoadArchive(sead::SafeStringBase<char> const&,sead::Heap *,sead::FileDevice *)",false
"_ZN2al10FileLoader18requestLoadArchiveERKN4sead14SafeStringBaseIcEEPNS1_4HeapEPNS1_10FileDeviceE","al::FileLoader::requestLoadArchive(sead::SafeStringBase<char> const&,sead::Heap *,sead::FileDevice *)",false
"_ZN2al10FileLoader13loadSoundItemEjjPNS_20IAudioResourceLoaderE","al::FileLoader::loadSoundItem(unsigned int,unsigned int,al::IAudioResourceLoader *)",false
"_ZN2al10FileLoader20requestLoadSoundItemEjjPNS_20IAudioResourceLoaderE","al::FileLoader::requestLoadSoundItem(unsigned int,unsigned int,al::IAudioResourceLoader *)",false
"_ZN2al10FileLoader23tryRequestLoadSoundItemEjPNS_20IAudioResourceLoaderE","al::FileLoader::tryRequestLoadSoundItem(unsigned int,al::IAudioResourceLoader *)",false
"_ZN2al10FileLoader18requestPreLoadFileERKNS_9ByamlIterEPN4sead4HeapEPNS_20IAudioResourceLoaderE","al::FileLoader::requestPreLoadFile(al::ByamlIter const&,sead::Heap *,al::IAudioResourceLoader *)",false
"_ZN2al10FileLoader19waitLoadDoneAllFileEv","al::FileLoader::waitLoadDoneAllFile(void)",false
"_ZN2al10FileLoader13clearAllEntryEv","al::FileLoader::clearAllEntry(void)",false
"_ZN2al10FileLoader17setThreadPriorityEi","al::FileLoader::setThreadPriority(int)",false
