Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14SoundItemEntryC2Ev","al::SoundItemEntry::SoundItemEntry(void)",false
"_ZN2al14SoundItemEntry4loadEv","al::SoundItemEntry::load(void)",false
"_ZN2al14SoundItemEntry18setLoadRequestInfoEjjPNS_20IAudioResourceLoaderE","al::SoundItemEntry::setLoadRequestInfo(unsigned int,unsigned int,al::IAudioResourceLoader *)",false
"_ZNK2al14SoundItemEntry13isLoadSuccessEv","al::SoundItemEntry::isLoadSuccess(void)const",false
"_ZNK2al14SoundItemEntry14getSoundItemIdEv","al::SoundItemEntry::getSoundItemId(void)const",false
"_ZN2al14SoundItemEntry5clearEv","al::SoundItemEntry::clear(void)",false
"_ZN2al15SoundItemHolderC2Ev","al::SoundItemHolder::SoundItemHolder(void)",false
"_ZN2al15SoundItemHolder22addNewLoadRequestEntryEjjPNS_20IAudioResourceLoaderE","al::SoundItemHolder::addNewLoadRequestEntry(unsigned int,unsigned int,al::IAudioResourceLoader *)",false
"_ZN2al15SoundItemHolder12tryFindEntryEjPNS_20IAudioResourceLoaderE","al::SoundItemHolder::tryFindEntry(unsigned int,al::IAudioResourceLoader *)",false
"_ZN2al15SoundItemHolder15waitLoadDoneAllEv","al::SoundItemHolder::waitLoadDoneAll(void)",false
"_ZN2al15SoundItemHolder10clearEntryEv","al::SoundItemHolder::clearEntry(void)",false
