Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18FluidSurfaceHolderC2Ev","al::FluidSurfaceHolder::FluidSurfaceHolder(void)",false
"_ZN2al18FluidSurfaceHolder20registerFluidSurfaceEPNS_16IUseFluidSurfaceE","al::FluidSurfaceHolder::registerFluidSurface(al::IUseFluidSurface *)",false
"_ZN2al18FluidSurfaceHolder24setWaterRippleFieldScaleEf","al::FluidSurfaceHolder::setWaterRippleFieldScale(float)",false
"_ZN2al18FluidSurfaceHolder13calcIsInFluidERKN4sead7Vector3IfEEPKc","al::FluidSurfaceHolder::calcIsInFluid(sead::Vector3<float> const&,char const*)",false
"_ZN2al18FluidSurfaceHolder19tryFindFluidSurfaceERKN4sead7Vector3IfEEPKc","al::FluidSurfaceHolder::tryFindFluidSurface(sead::Vector3<float> const&,char const*)",false
"_ZN2al18FluidSurfaceHolder15tryCalcFluidPosEPN4sead7Vector3IfEERKS3_PKc","al::FluidSurfaceHolder::tryCalcFluidPos(sead::Vector3<float> *,sead::Vector3<float> const&,char const*)",false
"_ZN2al18FluidSurfaceHolder19tryCalcFluidPosFlatEPN4sead7Vector3IfEERKS3_PKc","al::FluidSurfaceHolder::tryCalcFluidPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&,char const*)",false
"_ZN2al18FluidSurfaceHolder24tryCalcFluidDisplacementEPN4sead7Vector3IfEERKS3_PKc","al::FluidSurfaceHolder::tryCalcFluidDisplacement(sead::Vector3<float> *,sead::Vector3<float> const&,char const*)",false
"_ZN2al18FluidSurfaceHolder18tryCalcFluidNormalEPN4sead7Vector3IfEERKS3_PKc","al::FluidSurfaceHolder::tryCalcFluidNormal(sead::Vector3<float> *,sead::Vector3<float> const&,char const*)",false
"_ZN2al18FluidSurfaceHolder12tryAddRippleERKN4sead7Vector3IfEEffPKc","al::FluidSurfaceHolder::tryAddRipple(sead::Vector3<float> const&,float,float,char const*)",false
"_ZN2al18FluidSurfaceHolder15tryAddRippleAllERKN4sead7Vector3IfEEff","al::FluidSurfaceHolder::tryAddRippleAll(sead::Vector3<float> const&,float,float)",false
"_ZN2al18FluidSurfaceHolder24tryAddRippleAllWithRangeERKN4sead7Vector3IfEEffff","al::FluidSurfaceHolder::tryAddRippleAllWithRange(sead::Vector3<float> const&,float,float,float,float)",false
"_ZN2al18FluidSurfaceHolder19tryAddQuadRippleAllERKN4sead7Vector3IfEES5_S5_S5_f","al::FluidSurfaceHolder::tryAddQuadRippleAll(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
