Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al21RollingCubePoseKeeperC2Ev","al::RollingCubePoseKeeper::RollingCubePoseKeeper(void)",false
"_ZN2al21RollingCubePoseKeeper11setCubeSizeERKN4sead9BoundBox3IfEE","al::RollingCubePoseKeeper::setCubeSize(sead::BoundBox3<float> const&)",false
"_ZNK2al21RollingCubePoseKeeper14isMoveTypeTurnEv","al::RollingCubePoseKeeper::isMoveTypeTurn(void)const",false
"_ZNK2al21RollingCubePoseKeeper14isMoveTypeLoopEv","al::RollingCubePoseKeeper::isMoveTypeLoop(void)const",false
"_ZN2al21RollingCubePoseKeeper4initERKNS_13ActorInitInfoE","al::RollingCubePoseKeeper::init(al::ActorInitInfo const&)",false
"_ZN2al21RollingCubePoseKeeper7nextKeyEv","al::RollingCubePoseKeeper::nextKey(void)",false
"_ZN2al21RollingCubePoseKeeper8setStartEv","al::RollingCubePoseKeeper::setStart(void)",false
"_ZN2al21RollingCubePoseKeeper11setKeyIndexEi","al::RollingCubePoseKeeper::setKeyIndex(int)",false
"_ZNK2al21RollingCubePoseKeeper14getCurrentPoseEv","al::RollingCubePoseKeeper::getCurrentPose(void)const",false
"_ZNK2al21RollingCubePoseKeeper7getPoseEi","al::RollingCubePoseKeeper::getPose(int)const",false
"_ZNK2al21RollingCubePoseKeeper21calcBoundingBoxCenterEPN4sead7Vector3IfEERKNS1_4QuatIfEERKS3_","al::RollingCubePoseKeeper::calcBoundingBoxCenter(sead::Vector3<float> *,sead::Quat<float> const&,sead::Vector3<float> const&)const",false
"_ZN2al27createRollingCubePoseKeeperEPKNS_9LiveActorERKNS_13ActorInitInfoE","al::createRollingCubePoseKeeper(al::LiveActor const*,al::ActorInitInfo const&)",false
"_ZN2al27createRollingCubePoseKeeperERKN4sead9BoundBox3IfEERKNS_13ActorInitInfoE","al::createRollingCubePoseKeeper(sead::BoundBox3<float> const&,al::ActorInitInfo const&)",false
"_ZN2al18nextRollingCubeKeyEPNS_21RollingCubePoseKeeperE","al::nextRollingCubeKey(al::RollingCubePoseKeeper *)",false
"_ZN2al22setStartRollingCubeKeyEPNS_21RollingCubePoseKeeperE","al::setStartRollingCubeKey(al::RollingCubePoseKeeper *)",false
"_ZN2al22setRollingCubeKeyIndexEPNS_21RollingCubePoseKeeperEi","al::setRollingCubeKeyIndex(al::RollingCubePoseKeeper *,int)",false
"_ZN2al25isMoveTypeLoopRollingCubeEPKNS_21RollingCubePoseKeeperE","al::isMoveTypeLoopRollingCube(al::RollingCubePoseKeeper const*)",false
"_ZN2al30fittingToCurrentKeyBoundingBoxEPN4sead4QuatIfEEPNS0_7Vector3IfEEPKNS_21RollingCubePoseKeeperE","al::fittingToCurrentKeyBoundingBox(sead::Quat<float> *,sead::Vector3<float> *,al::RollingCubePoseKeeper const*)",false
"_ZN2al16calcCurrentKeyQTEPN4sead4QuatIfEEPNS0_7Vector3IfEEPKNS_21RollingCubePoseKeeperERKS2_RKS5_f","al::calcCurrentKeyQT(sead::Quat<float> *,sead::Vector3<float> *,al::RollingCubePoseKeeper const*,sead::Quat<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al15getCurrentKeyQTEPN4sead4QuatIfEEPNS0_7Vector3IfEEPKNS_21RollingCubePoseKeeperE","al::getCurrentKeyQT(sead::Quat<float> *,sead::Vector3<float> *,al::RollingCubePoseKeeper const*)",false
"_ZN2al25getCurrentKeyRotateDegreeEPKNS_21RollingCubePoseKeeperE","al::getCurrentKeyRotateDegree(al::RollingCubePoseKeeper const*)",false
"_ZN2al21getCurrentKeySlideVecEPKNS_21RollingCubePoseKeeperE","al::getCurrentKeySlideVec(al::RollingCubePoseKeeper const*)",false
"_ZN2al18getCurrentKeyIndexEPKNS_21RollingCubePoseKeeperE","al::getCurrentKeyIndex(al::RollingCubePoseKeeper const*)",false
"_ZN2al26getCurrentKeyPlacementInfoEPKNS_21RollingCubePoseKeeperE","al::getCurrentKeyPlacementInfo(al::RollingCubePoseKeeper const*)",false
"_ZN2al26isMovementCurrentKeyRotateEPKNS_21RollingCubePoseKeeperE","al::isMovementCurrentKeyRotate(al::RollingCubePoseKeeper const*)",false
"_ZN2al25isMovementCurrentKeySlideEPKNS_21RollingCubePoseKeeperE","al::isMovementCurrentKeySlide(al::RollingCubePoseKeeper const*)",false
"_ZN2al45calcDistanceCurrentKeyRotateCenterToBoxCenterEPKNS_21RollingCubePoseKeeperE","al::calcDistanceCurrentKeyRotateCenterToBoxCenter(al::RollingCubePoseKeeper const*)",false
"_ZN2al27calcRollingCubeClippingInfoEPN4sead7Vector3IfEEPfPKNS_21RollingCubePoseKeeperEf","al::calcRollingCubeClippingInfo(sead::Vector3<float> *,float *,al::RollingCubePoseKeeper const*,float)",false
"_ZN2al17calcMtxLandEffectEPN4sead8Matrix34IfEEPKNS_21RollingCubePoseKeeperERKNS0_4QuatIfEERKNS0_7Vector3IfEE","al::calcMtxLandEffect(sead::Matrix34<float> *,al::RollingCubePoseKeeper const*,sead::Quat<float> const&,sead::Vector3<float> const&)",false
