Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23ActorPrePassLightKeeper9UserColorC2Ev","al::ActorPrePassLightKeeper::UserColor::UserColor(void)",false
"_ZN2al23ActorPrePassLightKeeper11isExistFileEPKNS_8ResourceEPKc","al::ActorPrePassLightKeeper::isExistFile(al::Resource const*,char const*)",false
"_ZN2al23ActorPrePassLightKeeperC2EPNS_9LiveActorE","al::ActorPrePassLightKeeper::ActorPrePassLightKeeper(al::LiveActor *)",false
"_ZN2al23ActorPrePassLightKeeper4initEPKNS_8ResourceERKNS_13ActorInitInfoEPKc","al::ActorPrePassLightKeeper::init(al::Resource const*,al::ActorInitInfo const&,char const*)",false
"_ZN2al23ActorPrePassLightKeeper12initLightNumEi","al::ActorPrePassLightKeeper::initLightNum(int)",false
"_ZN2al23ActorPrePassLightKeeper18initAfterPlacementEv","al::ActorPrePassLightKeeper::initAfterPlacement(void)",false
"_ZN2al23ActorPrePassLightKeeper6appearEb","al::ActorPrePassLightKeeper::appear(bool)",false
"_ZN2al23ActorPrePassLightKeeper11requestKillEv","al::ActorPrePassLightKeeper::requestKill(void)",false
"_ZN2al23ActorPrePassLightKeeper9hideModelEv","al::ActorPrePassLightKeeper::hideModel(void)",false
"_ZN2al23ActorPrePassLightKeeper15updateHideModelEb","al::ActorPrePassLightKeeper::updateHideModel(bool)",false
"_ZNK2al23ActorPrePassLightKeeper12getLightBaseEPKc","al::ActorPrePassLightKeeper::getLightBase(char const*)const",false
"_ZNK2al23ActorPrePassLightKeeper12getLightBaseEi","al::ActorPrePassLightKeeper::getLightBase(int)const",false
"_ZNK2al23ActorPrePassLightKeeper13findUserColorEPKc","al::ActorPrePassLightKeeper::findUserColor(char const*)const",false
"_ZN2al12LppLightType5text_Ei","al::LppLightType::text_(int)",false
"_ZN4sead15FixedSafeStringILi97EED0Ev","sead::FixedSafeString<97>::~FixedSafeString()",false
"_ZN4sead15FixedSafeStringILi97EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeString<97>::operator=(sead::SafeStringBase<char> const&)",false
"_ZN4sead19FixedSafeStringBaseIcLi97EED0Ev","sead::FixedSafeStringBase<char,97>::~FixedSafeStringBase()",false
"_ZN4sead19FixedSafeStringBaseIcLi97EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeStringBase<char,97>::operator=(sead::SafeStringBase<char> const&)",false
