Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al8LightMapC1EPKNS_12ShaderHolderEPKNS_9HdrEncodeE","al::LightMap::LightMap(al::ShaderHolder const*,al::HdrEncode const*)",false
"_ZN2al8LightMapD2Ev","al::LightMap::~LightMap()",false
"_ZN2al8LightMap28setSphereMapUpdateEveryFrameERKN4sead7Vector3IfEE","al::LightMap::setSphereMapUpdateEveryFrame(sead::Vector3<float> const&)",false
"_ZN2al8LightMap17initializeTextureEii","al::LightMap::initializeTexture(int,int)",false
"_ZNK2al8LightMap19isMappingTypeSphereEv","al::LightMap::isMappingTypeSphere(void)const",false
"_ZNK2al8LightMap17isMappingTypeCubeEv","al::LightMap::isMappingTypeCube(void)const",false
"_ZN2al8LightMap7calcGpuEv","al::LightMap::calcGpu(void)",false
"_ZNK2al8LightMap8isEnableEv","al::LightMap::isEnable(void)const",false
"_ZNK2al8LightMap7drawMapEPN3agl11DrawContextEPKNS1_14TextureSamplerES6_","al::LightMap::drawMap(agl::DrawContext *,agl::TextureSampler const*,agl::TextureSampler const*)const",false
"_ZNK2al8LightMap18calcEnableLightNumEv","al::LightMap::calcEnableLightNum(void)const",false
"_ZNK2al8LightMap10drawCommonEPN3agl11DrawContextEbPKNS1_14TextureSamplerE","al::LightMap::drawCommon(agl::DrawContext *,bool,agl::TextureSampler const*)const",false
"_ZN2al8LightMap19tryCreateComposeMapEPKcS2_PKN3agl11TextureDataEi","al::LightMap::tryCreateComposeMap(char const*,char const*,agl::TextureData const*,int)",false
"_ZNK2al8LightMap14drawComposeMapEPN3agl11DrawContextE","al::LightMap::drawComposeMap(agl::DrawContext *)const",false
"_ZNK2al8LightMap17getTextureSamplerEv","al::LightMap::getTextureSampler(void)const",false
"_ZNK2al8LightMap24getComposeTextureSamplerEPKcS2_","al::LightMap::getComposeTextureSampler(char const*,char const*)const",false
"_ZNK2al8LightMap7getNameEv","al::LightMap::getName(void)const",false
"_ZN2al17LightMapNormalMapC2ENS0_13NormalMapTypeEiPKN3agl13ShaderProgramE","al::LightMapNormalMap::LightMapNormalMap(al::LightMapNormalMap::NormalMapType,int,agl::ShaderProgram const*)",false
"_ZN2al17LightMapNormalMapD2Ev","al::LightMapNormalMap::~LightMapNormalMap()",false
"_ZN2al17LightMapNormalMap7calcGpuEv","al::LightMapNormalMap::calcGpu(void)",false
"_ZNK2al17LightMapNormalMap4drawEPN3agl11DrawContextE","al::LightMapNormalMap::draw(agl::DrawContext *)const",false
"_ZN2al18MaterialLightParamC2Ev","al::MaterialLightParam::MaterialLightParam(void)",false
"_ZN2al13LightMapParamC2Ev","al::LightMapParam::LightMapParam(void)",false
"_ZN2al13LightMapParam4loadEPKcPKNS_8ResourceE","al::LightMapParam::load(char const*,al::Resource const*)",false
"_ZN2al19LightMapParamHolderC2Ev","al::LightMapParamHolder::LightMapParamHolder(void)",false
"_ZN2al19LightMapParamHolder4loadEv","al::LightMapParamHolder::load(void)",false
"_ZN2al19LightMapParamHolder21registerLightMapParamEPKc","al::LightMapParamHolder::registerLightMapParam(char const*)",false
"_ZN2al19LightMapParamHolder17findLightMapParamEPKc","al::LightMapParamHolder::findLightMapParam(char const*)",false
