Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17ConveyerKeyKeeperC2Ev","al::ConveyerKeyKeeper::ConveyerKeyKeeper(void)",false
"_ZN2al17ConveyerKeyKeeper4initERKNS_13ActorInitInfoE","al::ConveyerKeyKeeper::init(al::ActorInitInfo const&)",false
"_ZNK2al17ConveyerKeyKeeper14calcPosAndQuatEPN4sead7Vector3IfEEPNS1_4QuatIfEEPif","al::ConveyerKeyKeeper::calcPosAndQuat(sead::Vector3<float> *,sead::Quat<float> *,int *,float)const",false
"_ZNK2al17ConveyerKeyKeeper24calcPosAndQuatByKeyIndexEPN4sead7Vector3IfEEPNS1_4QuatIfEEi","al::ConveyerKeyKeeper::calcPosAndQuatByKeyIndex(sead::Vector3<float> *,sead::Quat<float> *,int)const",false
"_ZNK2al17ConveyerKeyKeeper18calcClippingSphereEPN4sead7Vector3IfEEPff","al::ConveyerKeyKeeper::calcClippingSphere(sead::Vector3<float> *,float *,float)const",false
"_ZNK2al17ConveyerKeyKeeper14getConveyerKeyEi","al::ConveyerKeyKeeper::getConveyerKey(int)const",false
"_ZN2al22SupportFreezeSyncGroupC2Ev","al::SupportFreezeSyncGroup::SupportFreezeSyncGroup(void)",false
"_ZN2al22SupportFreezeSyncGroup4initERKNS_13ActorInitInfoE","al::SupportFreezeSyncGroup::init(al::ActorInitInfo const&)",false
"_ZN2al22SupportFreezeSyncGroup6registEPNS_9LiveActorE","al::SupportFreezeSyncGroup::regist(al::LiveActor *)",false
"_ZN2al22SupportFreezeSyncGroup13setHostSensorEPNS_9HitSensorE","al::SupportFreezeSyncGroup::setHostSensor(al::HitSensor *)",false
"_ZNK2al22SupportFreezeSyncGroup14isEqualGroupIdERKNS_13ActorInitInfoE","al::SupportFreezeSyncGroup::isEqualGroupId(al::ActorInitInfo const&)const",false
"_ZN2al22SupportFreezeSyncGroup8movementEv","al::SupportFreezeSyncGroup::movement(void)",false
