Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12MemorySystemC1EPN4sead4HeapE","al::MemorySystem::MemorySystem(sead::Heap *)",false
"_ZN2al12MemorySystem23allocFailedCallbackFuncEPKN4sead7HeapMgr22AllocFailedCallbackArgE","al::MemorySystem::allocFailedCallbackFunc(sead::HeapMgr::AllocFailedCallbackArg const*)",false
"_ZN2al12MemorySystem18createSequenceHeapEv","al::MemorySystem::createSequenceHeap(void)",false
"_ZN2al12MemorySystem19freeAllSequenceHeapEv","al::MemorySystem::freeAllSequenceHeap(void)",false
"_ZN2al12MemorySystem17printSequenceHeapEv","al::MemorySystem::printSequenceHeap(void)",false
"_ZN2al12MemorySystem15createSceneHeapEPKcb","al::MemorySystem::createSceneHeap(char const*,bool)",false
"_ZN2al12MemorySystem23createSceneResourceHeapEPKcb","al::MemorySystem::createSceneResourceHeap(char const*,bool)",false
"_ZN2al12MemorySystem16destroySceneHeapEv","al::MemorySystem::destroySceneHeap(void)",false
"_ZN2al12MemorySystem24destroySceneResourceHeapEv","al::MemorySystem::destroySceneResourceHeap(void)",false
"_ZN2al12MemorySystem22createCourseSelectHeapEv","al::MemorySystem::createCourseSelectHeap(void)",false
"_ZN2al12MemorySystem23destroyCourseSelectHeapEv","al::MemorySystem::destroyCourseSelectHeap(void)",false
"_ZN2al12MemorySystem23createWorldResourceHeapEv","al::MemorySystem::createWorldResourceHeap(void)",false
"_ZN2al12MemorySystem24destroyWorldResourceHeapEv","al::MemorySystem::destroyWorldResourceHeap(void)",false
"_ZN2al12MemorySystem17freeAllPlayerHeapEv","al::MemorySystem::freeAllPlayerHeap(void)",false
"_ZNK2al12MemorySystem16tryFindNamedHeapEPKc","al::MemorySystem::tryFindNamedHeap(char const*)const",false
"_ZNK2al12MemorySystem13findNamedHeapEPKc","al::MemorySystem::findNamedHeap(char const*)const",false
"_ZN2al12MemorySystem12addNamedHeapEPN4sead4HeapEPKc","al::MemorySystem::addNamedHeap(sead::Heap *,char const*)",false
"_ZN4sead10StrTreeMapILi32EPNS_4HeapEE6insertERKNS_14SafeStringBaseIcEERKS2_","sead::StrTreeMap<32,sead::Heap *>::insert(sead::SafeStringBase<char> const&,sead::Heap * const&)",false
"_ZN2al12MemorySystem15removeNamedHeapEPKc","al::MemorySystem::removeNamedHeap(char const*)",false
"_ZN4sead9Delegate1IN2al12MemorySystemEPKNS_7HeapMgr22AllocFailedCallbackArgEE6invokeES6_","sead::Delegate1<al::MemorySystem,sead::HeapMgr::AllocFailedCallbackArg const*>::invoke(sead::HeapMgr::AllocFailedCallbackArg const*)",false
"_ZNK4sead9Delegate1IN2al12MemorySystemEPKNS_7HeapMgr22AllocFailedCallbackArgEE5cloneEPNS_4HeapE","sead::Delegate1<al::MemorySystem,sead::HeapMgr::AllocFailedCallbackArg const*>::clone(sead::Heap *)const",false
"_ZNK4sead10IDelegate1IPKNS_7HeapMgr22AllocFailedCallbackArgEE5cloneEPNS_4HeapE","sead::IDelegate1<sead::HeapMgr::AllocFailedCallbackArg const*>::clone(sead::Heap *)const",false
"_ZN4sead10StrTreeMapILi32EPNS_4HeapEE4NodeD0Ev","sead::StrTreeMap<32,sead::Heap *>::Node::~Node()",false
"_ZN4sead10StrTreeMapILi32EPNS_4HeapEE4Node6erase_Ev","sead::StrTreeMap<32,sead::Heap *>::Node::erase_(void)",false
