Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15DynamicMeshAttrC2Ev","al::DynamicMeshAttr::DynamicMeshAttr(void)",false
"_ZN2al15DynamicMeshAttr5clearEv","al::DynamicMeshAttr::clear(void)",false
"_ZN2al15DynamicMeshAttrD2Ev","al::DynamicMeshAttr::~DynamicMeshAttr()",false
"_ZN2al15DynamicMeshAttr20setFetchShaderBufferEPvj","al::DynamicMeshAttr::setFetchShaderBuffer(void *,unsigned int)",false
"_ZN2al15DynamicMeshAttr4bindEPKN2nn3g3d11ResMaterialEPKNS2_8ResShapeEPKNS_11DynamicMeshEPKNS2_15ResShadingModelEPKNS2_16ResShaderProgramE","al::DynamicMeshAttr::bind(nn::g3d::ResMaterial const*,nn::g3d::ResShape const*,al::DynamicMesh const*,nn::g3d::ResShadingModel const*,nn::g3d::ResShaderProgram const*)",false
"_ZN2al15DynamicMeshAttr5bind_EPKN2nn3g3d9ResVertexEPKNS_11DynamicMeshERKN4sead11UnsafeArrayINS0_9AttributeELi16EEEi","al::DynamicMeshAttr::bind_(nn::g3d::ResVertex const*,al::DynamicMesh const*,sead::UnsafeArray<al::DynamicMeshAttr::Attribute,16> const&,int)",false
"_ZNK2al15DynamicMeshAttr21isSameVertexAttributeERKS0_","al::DynamicMeshAttr::isSameVertexAttribute(al::DynamicMeshAttr const&)const",false
"_ZNK2al15DynamicMeshAttr15getAttributeNumEv","al::DynamicMeshAttr::getAttributeNum(void)const",false
"_ZNK2al15DynamicMeshAttr20getAttributeLocationEi","al::DynamicMeshAttr::getAttributeLocation(int)const",false
"_ZNK2al15DynamicMeshAttr23getAttributeBufferIndexEi","al::DynamicMeshAttr::getAttributeBufferIndex(int)const",false
"_ZNK2al15DynamicMeshAttr18getAttributeFormatEi","al::DynamicMeshAttr::getAttributeFormat(int)const",false
"_ZNK2al15DynamicMeshAttr18getAttributeOffsetEi","al::DynamicMeshAttr::getAttributeOffset(int)const",false
"_ZNK2al15DynamicMeshAttr18isSameVertexBufferERKS0_","al::DynamicMeshAttr::isSameVertexBuffer(al::DynamicMeshAttr const&)const",false
"_ZN2al15DynamicMeshAttr15setVertexBufferEPKN2nn3gfx7TBufferINS2_12ApiVariationINS2_7ApiTypeILi4EEENS2_10ApiVersionILi8EEEEEEEiii","al::DynamicMeshAttr::setVertexBuffer(nn::gfx::TBuffer<nn::gfx::ApiVariation<nn::gfx::ApiType<4>,nn::gfx::ApiVersion<8>>> const*,int,int,int)",false
"_ZNK2al15DynamicMeshAttr23activateVertexAttributeEPN3agl11DrawContextE","al::DynamicMeshAttr::activateVertexAttribute(agl::DrawContext *)const",false
"_ZNK2al15DynamicMeshAttr20activateVertexBufferEPN3agl11DrawContextE","al::DynamicMeshAttr::activateVertexBuffer(agl::DrawContext *)const",false
"_ZNK2al15DynamicMeshAttr20searchAttributeIndexEi","al::DynamicMeshAttr::searchAttributeIndex(int)const",false
"_ZNK2al15DynamicMeshAttr21getVertexBufferStrideEi","al::DynamicMeshAttr::getVertexBufferStride(int)const",false
"_ZNK2al15DynamicMeshAttr19getVertexBufferSizeEi","al::DynamicMeshAttr::getVertexBufferSize(int)const",false
"_ZNK2al15DynamicMeshAttr24getFetchShaderBufferSizeEv","al::DynamicMeshAttr::getFetchShaderBufferSize(void)const",false
"_ZN2al15DynamicMeshAttr20getFetchShaderBufferEv","al::DynamicMeshAttr::getFetchShaderBuffer(void)",false
"_ZNK2al15DynamicMeshAttr20getFetchShaderBufferEv","al::DynamicMeshAttr::getFetchShaderBuffer(void)const",false
"_ZN2al15DynamicMeshAttr17flushVertexBufferEv","al::DynamicMeshAttr::flushVertexBuffer(void)",false
