Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19ColorClampDrawParamC2Ev","al::ColorClampDrawParam::ColorClampDrawParam(void)",false
"_ZNK2al19ColorClampDrawParam8isEnableEv","al::ColorClampDrawParam::isEnable(void)const",false
"_ZNK2al19ColorClampDrawParam13getClampColorEv","al::ColorClampDrawParam::getClampColor(void)const",false
"_ZN2al16ColorClampDrawerC1EPNS_12ShaderHolderE","al::ColorClampDrawer::ColorClampDrawer(al::ShaderHolder *)",false
"_ZN2al16ColorClampDrawer7endInitEv","al::ColorClampDrawer::endInit(void)",false
"_ZN2al16ColorClampDrawer12clearRequestEv","al::ColorClampDrawer::clearRequest(void)",false
"_ZN2al16ColorClampDrawer6updateEv","al::ColorClampDrawer::update(void)",false
"_ZNK2al16ColorClampDrawer4drawEPN3agl11DrawContextERKNS1_12RenderBufferE","al::ColorClampDrawer::draw(agl::DrawContext *,agl::RenderBuffer const&)const",false
"_ZNK2al16ColorClampDrawer15getCurrentParamEv","al::ColorClampDrawer::getCurrentParam(void)const",false
"_ZN2al16ColorClampDrawer12requestParamEiiRKNS_19ColorClampDrawParamE","al::ColorClampDrawer::requestParam(int,int,al::ColorClampDrawParam const&)",false
"_ZNK2al16ColorClampDrawer8isEnableEv","al::ColorClampDrawer::isEnable(void)const",false
"_ZNK2al19ColorClampDrawParam12getParamNameEv","al::ColorClampDrawParam::getParamName(void)const",false
"_ZN2al19ColorClampDrawParam11getParamObjEv","al::ColorClampDrawParam::getParamObj(void)",false
"_ZNK2al19ColorClampDrawParam11getParamObjEv","al::ColorClampDrawParam::getParamObj(void)const",false
