Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13EdgeDrawParamC2Ev","al::EdgeDrawParam::EdgeDrawParam(void)",false
"_ZNK2al13EdgeDrawParam8isEnableEv","al::EdgeDrawParam::isEnable(void)const",false
"_ZNK2al13EdgeDrawParam12isConstColorEv","al::EdgeDrawParam::isConstColor(void)const",false
"_ZNK2al13EdgeDrawParam6isBoldEv","al::EdgeDrawParam::isBold(void)const",false
"_ZNK2al13EdgeDrawParam13getBoundDepthEv","al::EdgeDrawParam::getBoundDepth(void)const",false
"_ZNK2al13EdgeDrawParam15getEdgeEndDepthEv","al::EdgeDrawParam::getEdgeEndDepth(void)const",false
"_ZNK2al13EdgeDrawParam15getEdgePowerMinEv","al::EdgeDrawParam::getEdgePowerMin(void)const",false
"_ZNK2al13EdgeDrawParam22getEdgeNormalEdgeBoundEv","al::EdgeDrawParam::getEdgeNormalEdgeBound(void)const",false
"_ZNK2al13EdgeDrawParam14getOffsetColorEv","al::EdgeDrawParam::getOffsetColor(void)const",false
"_ZN2al10EdgeDrawerC1EPNS_12ShaderHolderEi","al::EdgeDrawer::EdgeDrawer(al::ShaderHolder *,int)",false
"_ZN2al10EdgeDrawerD2Ev","al::EdgeDrawer::~EdgeDrawer()",false
"_ZN2al10EdgeDrawerD0Ev","al::EdgeDrawer::~EdgeDrawer()",false
"_ZN2al10EdgeDrawer7endInitEv","al::EdgeDrawer::endInit(void)",false
"_ZN2al10EdgeDrawer12clearRequestEv","al::EdgeDrawer::clearRequest(void)",false
"_ZN2al10EdgeDrawer6updateEv","al::EdgeDrawer::update(void)",false
"_ZN2al10EdgeDrawer12requestParamEiiRKNS_13EdgeDrawParamE","al::EdgeDrawer::requestParam(int,int,al::EdgeDrawParam const&)",false
"_ZNK2al10EdgeDrawer15getCurrentParamEv","al::EdgeDrawer::getCurrentParam(void)const",false
"_ZNK2al10EdgeDrawer8isEnableEv","al::EdgeDrawer::isEnable(void)const",false
"_ZNK2al10EdgeDrawer4drawEPN3agl11DrawContextEPKNS1_12RenderBufferES6_PKNS1_11TextureDataES9_iRKN4sead6CameraEffb","al::EdgeDrawer::draw(agl::DrawContext *,agl::RenderBuffer const*,agl::RenderBuffer const*,agl::TextureData const*,agl::TextureData const*,int,sead::Camera const&,float,float,bool)const",false
"_ZNK2al10EdgeDrawer8drawEdgeEPN3agl11DrawContextEPKNS1_12RenderBufferES6_PKNS1_11TextureDataES9_iRKN4sead6CameraEffb","al::EdgeDrawer::drawEdge(agl::DrawContext *,agl::RenderBuffer const*,agl::RenderBuffer const*,agl::TextureData const*,agl::TextureData const*,int,sead::Camera const&,float,float,bool)const",false
"_ZNK2al10EdgeDrawer13drawReductionEPN3agl11DrawContextERKNS1_12RenderBufferEPKNS1_11TextureDataEib","al::EdgeDrawer::drawReduction(agl::DrawContext *,agl::RenderBuffer const&,agl::TextureData const*,int,bool)const",false
"_ZNK2al10EdgeDrawer7drawMixEPN3agl11DrawContextERKNS1_12RenderBufferEPKNS1_11TextureDataE","al::EdgeDrawer::drawMix(agl::DrawContext *,agl::RenderBuffer const&,agl::TextureData const*)const",false
"_ZNK2al13EdgeDrawParam12getParamNameEv","al::EdgeDrawParam::getParamName(void)const",false
"_ZN2al13EdgeDrawParam11getParamObjEv","al::EdgeDrawParam::getParamObj(void)",false
"_ZNK2al13EdgeDrawParam11getParamObjEv","al::EdgeDrawParam::getParamObj(void)const",false
