Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al11BezierCurveC2Ev","al::BezierCurve::BezierCurve(void)",false
"_ZN2al11BezierCurve3setERKN4sead7Vector3IfEES5_S5_S5_","al::BezierCurve::set(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZNK2al11BezierCurve10calcLengthEffi","al::BezierCurve::calcLength(float,float,int)const",false
"_ZNK2al11BezierCurve7calcPosEPN4sead7Vector3IfEEf","al::BezierCurve::calcPos(sead::Vector3<float> *,float)const",false
"_ZNK2al11BezierCurve12calcVelocityEPN4sead7Vector3IfEEf","al::BezierCurve::calcVelocity(sead::Vector3<float> *,float)const",false
"_ZNK2al11BezierCurve15calcDeltaLengthEf","al::BezierCurve::calcDeltaLength(float)const",false
"_ZNK2al11BezierCurve14calcCurveParamEf","al::BezierCurve::calcCurveParam(float)const",false
"_ZNK2al11BezierCurve16calcNearestParamERKN4sead7Vector3IfEEf","al::BezierCurve::calcNearestParam(sead::Vector3<float> const&,float)const",false
"_ZNK2al11BezierCurve17calcNearestLengthEPfRKN4sead7Vector3IfEEff","al::BezierCurve::calcNearestLength(float *,sead::Vector3<float> const&,float,float)const",false
"_ZNK2al11BezierCurve14calcNearestPosEPN4sead7Vector3IfEERKS3_f","al::BezierCurve::calcNearestPos(sead::Vector3<float> *,sead::Vector3<float> const&,float)const",false
"_ZNK2al11BezierCurve12calcStartPosEPN4sead7Vector3IfEE","al::BezierCurve::calcStartPos(sead::Vector3<float> *)const",false
"_ZNK2al11BezierCurve12calcCtrlPos1EPN4sead7Vector3IfEE","al::BezierCurve::calcCtrlPos1(sead::Vector3<float> *)const",false
"_ZNK2al11BezierCurve12calcCtrlPos2EPN4sead7Vector3IfEE","al::BezierCurve::calcCtrlPos2(sead::Vector3<float> *)const",false
"_ZNK2al11BezierCurve10calcEndPosEPN4sead7Vector3IfEE","al::BezierCurve::calcEndPos(sead::Vector3<float> *)const",false
