Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al11LinearCurveC2Ev","al::LinearCurve::LinearCurve(void)",false
"_ZN2al11LinearCurve3setERKN4sead7Vector3IfEES5_","al::LinearCurve::set(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZNK2al11LinearCurve7calcPosEPN4sead7Vector3IfEEf","al::LinearCurve::calcPos(sead::Vector3<float> *,float)const",false
"_ZNK2al11LinearCurve12calcVelocityEPN4sead7Vector3IfEEf","al::LinearCurve::calcVelocity(sead::Vector3<float> *,float)const",false
"_ZNK2al11LinearCurve10calcLengthEff","al::LinearCurve::calcLength(float,float)const",false
"_ZNK2al11LinearCurve14calcCurveParamEf","al::LinearCurve::calcCurveParam(float)const",false
"_ZNK2al11LinearCurve16calcNearestParamERKN4sead7Vector3IfEE","al::LinearCurve::calcNearestParam(sead::Vector3<float> const&)const",false
"_ZNK2al11LinearCurve17calcNearestLengthEPfRKN4sead7Vector3IfEEf","al::LinearCurve::calcNearestLength(float *,sead::Vector3<float> const&,float)const",false
"_ZNK2al11LinearCurve14calcNearestPosEPN4sead7Vector3IfEERKS3_","al::LinearCurve::calcNearestPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al11LinearCurve12calcStartPosEPN4sead7Vector3IfEE","al::LinearCurve::calcStartPos(sead::Vector3<float> *)const",false
"_ZNK2al11LinearCurve10calcEndPosEPN4sead7Vector3IfEE","al::LinearCurve::calcEndPos(sead::Vector3<float> *)const",false
