Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al26RankingStateGetApproxOrderC2EPNS_11IUseRankingE","al::RankingStateGetApproxOrder::RankingStateGetApproxOrder(al::IUseRanking *)",false
"_ZN2al26RankingStateGetApproxOrderD2Ev","al::RankingStateGetApproxOrder::~RankingStateGetApproxOrder()",false
"_ZN2al26RankingStateGetApproxOrderD0Ev","al::RankingStateGetApproxOrder::~RankingStateGetApproxOrder()",false
"_ZN2al26RankingStateGetApproxOrder6appearEv","al::RankingStateGetApproxOrder::appear(void)",false
"_ZN2al26RankingStateGetApproxOrder11setCategoryEj","al::RankingStateGetApproxOrder::setCategory(unsigned int)",false
"_ZN2al26RankingStateGetApproxOrder8setScoreEj","al::RankingStateGetApproxOrder::setScore(unsigned int)",false
"_ZN2al26RankingStateGetApproxOrder11setOrderPtrEPj","al::RankingStateGetApproxOrder::setOrderPtr(unsigned int *)",false
"_ZN2al26RankingStateGetApproxOrder18setLengthAndOffsetEhj","al::RankingStateGetApproxOrder::setLengthAndOffset(unsigned char,unsigned int)",false
"_ZN2al26RankingStateGetApproxOrder22setOrderCalculation113Ev","al::RankingStateGetApproxOrder::setOrderCalculation113(void)",false
"_ZN2al26RankingStateGetApproxOrder22setOrderCalculation123Ev","al::RankingStateGetApproxOrder::setOrderCalculation123(void)",false
"_ZN2al26RankingStateGetApproxOrder20setFilterGroupIndex0Eh","al::RankingStateGetApproxOrder::setFilterGroupIndex0(unsigned char)",false
"_ZN2al26RankingStateGetApproxOrder20setFilterGroupIndex1Eh","al::RankingStateGetApproxOrder::setFilterGroupIndex1(unsigned char)",false
"_ZN2al26RankingStateGetApproxOrder19setTimeScopeCustom0Ev","al::RankingStateGetApproxOrder::setTimeScopeCustom0(void)",false
"_ZN2al26RankingStateGetApproxOrder19setTimeScopeCustom1Ev","al::RankingStateGetApproxOrder::setTimeScopeCustom1(void)",false
"_ZN2al26RankingStateGetApproxOrder11exeDownloadEv","al::RankingStateGetApproxOrder::exeDownload(void)",false
"sub_7100A7C8A4","",false
