Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16SaveDataDirectorC2Eji","al::SaveDataDirector::SaveDataDirector(unsigned int,int)",false
"_ZN2al16SaveDataDirector10threadFuncEv","al::SaveDataDirector::threadFunc(void)",false
"_ZN2al16SaveDataDirector17initCheckSaveDataEv","al::SaveDataDirector::initCheckSaveData(void)",false
"_ZN2al16SaveDataDirector18requestInitSaveDirEPKcjj","al::SaveDataDirector::requestInitSaveDir(char const*,unsigned int,unsigned int)",false
"_ZN2al16SaveDataDirector15initSaveDirSyncEPKcjj","al::SaveDataDirector::initSaveDirSync(char const*,unsigned int,unsigned int)",false
"_ZN2al16SaveDataDirector13requestFormatEii","al::SaveDataDirector::requestFormat(int,int)",false
"_ZN2al16SaveDataDirector10formatSyncEii","al::SaveDataDirector::formatSync(int,int)",false
"_ZN2al16SaveDataDirector11requestReadEPKcjj","al::SaveDataDirector::requestRead(char const*,unsigned int,unsigned int)",false
"_ZN2al16SaveDataDirector8readSyncEPKcjj","al::SaveDataDirector::readSync(char const*,unsigned int,unsigned int)",false
"_ZN2al16SaveDataDirector12requestWriteEPKcjjb","al::SaveDataDirector::requestWrite(char const*,unsigned int,unsigned int,bool)",false
"_ZN2al16SaveDataDirector12requestFlushEv","al::SaveDataDirector::requestFlush(void)",false
"_ZN2al16SaveDataDirector9writeSyncEPKcjj","al::SaveDataDirector::writeSync(char const*,unsigned int,unsigned int)",false
"_ZN2al16SaveDataDirector14updateSequenceEv","al::SaveDataDirector::updateSequence(void)",false
"_ZNK2al16SaveDataDirector14isDoneSequenceEv","al::SaveDataDirector::isDoneSequence(void)const",false
"_ZN2al16SaveDataDirector13getWorkBufferEv","al::SaveDataDirector::getWorkBuffer(void)",false
"_ZN2al16SaveDataDirector9getResultEv","al::SaveDataDirector::getResult(void)",false
"_ZNK2al10FunctorV0MIPNS_16SaveDataDirectorEMS1_FvvEEclEv","al::FunctorV0M<al::SaveDataDirector *,void (al::SaveDataDirector::*)(void)>::operator()(void)const",false
"_ZNK2al10FunctorV0MIPNS_16SaveDataDirectorEMS1_FvvEE5cloneEv","al::FunctorV0M<al::SaveDataDirector *,void (al::SaveDataDirector::*)(void)>::clone(void)const",false
"_ZN2al10FunctorV0MIPNS_16SaveDataDirectorEMS1_FvvEED0Ev","al::FunctorV0M<al::SaveDataDirector *,void (al::SaveDataDirector::*)(void)>::~FunctorV0M()",false
"_ZN2al16SaveDataFunction17getSaveDataHeaderEPh","al::SaveDataFunction::getSaveDataHeader(unsigned char *)",false
"_ZN2al16SaveDataFunction17getSaveDataHeaderEPKh","al::SaveDataFunction::getSaveDataHeader(unsigned char const*)",false
"_ZN2al16SaveDataFunction20calcSaveDataCheckSumEPKh","al::SaveDataFunction::calcSaveDataCheckSum(unsigned char const*)",false
"_ZN2al16SaveDataFunction17makeInvalidResultEv","al::SaveDataFunction::makeInvalidResult(void)",false
