Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15SeEmitterHolderC1ERKN4sead14SafeStringBaseIcEEPKNS_22AudioInfoListWithPartsINS_13SeEmitterInfoEEEPKNS_11ModelKeeperEPKNS1_7Vector3IfEEPKNS1_8Matrix34IfEEbPNS_14CameraDirectorEPKNS_10SeListenerEPKNS_15SeBarrierKeeperEPKNS_21OcclusionCullingJudgeEb","al::SeEmitterHolder::SeEmitterHolder(sead::SafeStringBase<char> const&,al::AudioInfoListWithParts<al::SeEmitterInfo> const*,al::ModelKeeper const*,sead::Vector3<float> const*,sead::Matrix34<float> const*,bool,al::CameraDirector *,al::SeListener const*,al::SeBarrierKeeper const*,al::OcclusionCullingJudge const*,bool)",false
"_ZNK2al15SeEmitterHolder11findEmitterEPKc","al::SeEmitterHolder::findEmitter(char const*)const",false
"_ZNK2al15SeEmitterHolder10getEmitterEi","al::SeEmitterHolder::getEmitter(int)const",false
"_ZN2al15SeEmitterHolder13resetPositionEv","al::SeEmitterHolder::resetPosition(void)",false
"_ZNK2al15SeEmitterHolder14calcPlayingNumEv","al::SeEmitterHolder::calcPlayingNum(void)const",false
"_ZN2al9SeEmitterC2EPKNS_13SeEmitterInfoEPKNS_11ModelKeeperEPKN4sead7Vector3IfEEPKNS7_8Matrix34IfEEbPNS_14CameraDirectorEPKNS_10SeListenerEPKNS_15SeBarrierKeeperEPKNS_21OcclusionCullingJudgeEb","al::SeEmitter::SeEmitter(al::SeEmitterInfo const*,al::ModelKeeper const*,sead::Vector3<float> const*,sead::Matrix34<float> const*,bool,al::CameraDirector *,al::SeListener const*,al::SeBarrierKeeper const*,al::OcclusionCullingJudge const*,bool)",false
"_ZNK2al9SeEmitter7getNameEv","al::SeEmitter::getName(void)const",false
"_ZN2al9SeEmitter6updateEb","al::SeEmitter::update(bool)",false
"_ZNK2al9SeEmitter8isCalc3dEv","al::SeEmitter::isCalc3d(void)const",false
"_ZNK2al9SeEmitter11getPositionEv","al::SeEmitter::getPosition(void)const",false
"_ZN2al9SeEmitter20updateBarrieredParamEv","al::SeEmitter::updateBarrieredParam(void)",false
"_ZN2al9SeEmitter10initUpdateEv","al::SeEmitter::initUpdate(void)",false
"_ZN2al9SeEmitter13resetPositionEv","al::SeEmitter::resetPosition(void)",false
"_ZN2al9SeEmitter16notifyNewRequestEPKNS_9SeRequestE","al::SeEmitter::notifyNewRequest(al::SeRequest const*)",false
"_ZN2al9SeEmitter16notifyEndRequestEPKNS_9SeRequestE","al::SeEmitter::notifyEndRequest(al::SeRequest const*)",false
"_ZNK2al9SeEmitter17isUseSpeakerParamEv","al::SeEmitter::isUseSpeakerParam(void)const",false
"_ZN2al9SeEmitter16calcSpeakerParamEPNS_12SpeakerParamEPfS3_S3_S3_PKNS_14SeResourceInfoEPKN4sead7Vector3IfEEPS9_fb","al::SeEmitter::calcSpeakerParam(al::SpeakerParam *,float *,float *,float *,float *,al::SeResourceInfo const*,sead::Vector3<float> const*,sead::Vector3<float>*,float,bool)",false
"_ZNK2al9SeEmitter14calcPlayingNumEv","al::SeEmitter::calcPlayingNum(void)const",false
"_ZNK2al9SeEmitter9isPlayingEv","al::SeEmitter::isPlaying(void)const",false
"_ZNK2al9SeEmitter14isExistRequestEv","al::SeEmitter::isExistRequest(void)const",false
"_ZN2al9SeEmitter10moveVolumeEf","al::SeEmitter::moveVolume(float)",false
"_ZNK2al9SeEmitter17isInvalidClippingEv","al::SeEmitter::isInvalidClipping(void)const",false
"_ZNK2al9SeEmitter22getShapeDistToListenerEv","al::SeEmitter::getShapeDistToListener(void)const",false
"_ZNK2al9SeEmitter25calcDistToListenerFromPosEPKN4sead7Vector3IfEE","al::SeEmitter::calcDistToListenerFromPos(sead::Vector3<float> const*)const",false
"_ZNK2al9SeEmitter17calcDistVolFactorEff","al::SeEmitter::calcDistVolFactor(float,float)const",false
"_ZNK2al9SeEmitter16isModeMonophonicEv","al::SeEmitter::isModeMonophonic(void)const",false
"_ZNK2al9SeEmitter20isModeSurroundStreamEv","al::SeEmitter::isModeSurroundStream(void)const",false
"_ZNK2al9SeEmitter11tryGetSpeedEv","al::SeEmitter::tryGetSpeed(void)const",false
"_ZNK2al9SeEmitter19tryGetRotSpeedFrontEv","al::SeEmitter::tryGetRotSpeedFront(void)const",false
"_ZNK2al9SeEmitter16tryGetRotSpeedUpEv","al::SeEmitter::tryGetRotSpeedUp(void)const",false
"_ZNK2al9SeEmitter19isRegisteredRequestEPKNS_14SeResourceInfoE","al::SeEmitter::isRegisteredRequest(al::SeResourceInfo const*)const",false
"_ZN2al9SeEmitter16changePoseSourceEPKN4sead8Matrix34IfEE","al::SeEmitter::changePoseSource(sead::Matrix34<float> const*)",false
"_ZN2al9SeEmitter16changePoseSourceEPKN4sead7Vector3IfEE","al::SeEmitter::changePoseSource(sead::Vector3<float> const*)",false
"_ZNK2al9SeEmitter17getCameraDirectorEv","al::SeEmitter::getCameraDirector(void)const",false
"sub_7100A82C30","",false
"_ZNK2al17SePlayerGroupInfo11isExistNameEPKc","al::SePlayerGroupInfo::isExistName(char const*)const",false
"_ZN2al13SePlayerGroupC1EPNS_15SeadAudioPlayerEPKNS_17IUseActiveBgmLineEPNS_19SeDuckingControllerEiiPjiPNS_17SePlayerGroupInfoE","al::SePlayerGroup::SePlayerGroup(al::SeadAudioPlayer *,al::IUseActiveBgmLine const*,al::SeDuckingController *,int,int,unsigned int *,int,al::SePlayerGroupInfo *)",false
"_ZN2al13SePlayerGroup6updateEfff","al::SePlayerGroup::update(float,float,float)",false
"_ZN2al13SePlayerGroup27sortActiveListAscByPriorityEv","al::SePlayerGroup::sortActiveListAscByPriority(void)",false
"_ZNK2al13SePlayerGroup15countPlayingNumEv","al::SePlayerGroup::countPlayingNum(void)const",false
"_ZN2al13SePlayerGroup28calcTotalVolumeAndLimitedNumEv","al::SePlayerGroup::calcTotalVolumeAndLimitedNum(void)",false
"_ZN2al13SePlayerGroup10addRequestEPKNS_14SeRequestParamEPKNS_10SeCategoryE","al::SePlayerGroup::addRequest(al::SeRequestParam const*,al::SeCategory const*)",false
"_ZN2al13SePlayerGroup4stopEjPNS_9SeEmitterEjb","al::SePlayerGroup::stop(unsigned int,al::SeEmitter *,unsigned int,bool)",false
"_ZN2al13SePlayerGroup18stopAllFromEmitterEPNS_9SeEmitterEj","al::SePlayerGroup::stopAllFromEmitter(al::SeEmitter *,unsigned int)",false
"_ZN2al13SePlayerGroup43stopActiveAndWaitingSeFromEmitterExeptLevelEPNS_9SeEmitterEj","al::SePlayerGroup::stopActiveAndWaitingSeFromEmitterExeptLevel(al::SeEmitter *,unsigned int)",false
"_ZN2al13SePlayerGroup7stopAllEjbPKcS2_","al::SePlayerGroup::stopAll(unsigned int,bool,char const*,char const*)",false
"_ZN2al13SePlayerGroup17clearAllFreezedSeEb","al::SePlayerGroup::clearAllFreezedSe(bool)",false
"_ZN2al13SePlayerGroup31separatePlayingSePosFromEmitterEPNS_9SeEmitterE","al::SePlayerGroup::separatePlayingSePosFromEmitter(al::SeEmitter *)",false
"_ZNK2al13SePlayerGroup9isPlayingEPKNS_14SeResourceInfoEPNS_9SeEmitterE","al::SePlayerGroup::isPlaying(al::SeResourceInfo const*,al::SeEmitter *)const",false
"_ZN2al13SePlayerGroup22setLifeTimeForHoldCallEPKNS_14SeResourceInfoEPNS_9SeEmitterEj","al::SePlayerGroup::setLifeTimeForHoldCall(al::SeResourceInfo const*,al::SeEmitter *,unsigned int)",false
"_ZNK2al13SePlayerGroup28tryGetCurrentStreamSamplePosEPKNS_14SeResourceInfoEPNS_9SeEmitterE","al::SePlayerGroup::tryGetCurrentStreamSamplePos(al::SeResourceInfo const*,al::SeEmitter *)const",false
"_ZN2al13SePlayerGroup23deactivateSeFromEmitterEPNS_9SeEmitterEb","al::SePlayerGroup::deactivateSeFromEmitter(al::SeEmitter *,bool)",false
"_ZN2al13SePlayerGroup23reactivateSeFromEmitterEPNS_9SeEmitterE","al::SePlayerGroup::reactivateSeFromEmitter(al::SeEmitter *)",false
"_ZN2al13SePlayerGroup5pauseEbPKcS2_j","al::SePlayerGroup::pause(bool,char const*,char const*,unsigned int)",false
"_ZN2al13SePlayerGroup22notifiedUpdateMaterialEPNS_9SeEmitterEPKciPKNS_20SeMaterialInfoKeeperE","al::SePlayerGroup::notifiedUpdateMaterial(al::SeEmitter *,char const*,int,al::SeMaterialInfoKeeper const*)",false
"_ZN2al13SePlayerGroup18setIsExcludeCmNgSeEb","al::SePlayerGroup::setIsExcludeCmNgSe(bool)",false
"_ZN2al13SePlayerGroup19setStateIsAfterGoalEb","al::SePlayerGroup::setStateIsAfterGoal(bool)",false
"_ZN2al13SePlayerGroup25setAudioBusSendControllerEPNS_22AudioBusSendControllerE","al::SePlayerGroup::setAudioBusSendController(al::AudioBusSendController *)",false
"_ZN2al13SePlayerGroup15prepareFinalizeEv","al::SePlayerGroup::prepareFinalize(void)",false
"_ZN2al13SePlayerGroup12setHdrVolumeEfi","al::SePlayerGroup::setHdrVolume(float,int)",false
"_ZNK2al13SePlayerGroup22countFreezedPlayingNumEv","al::SePlayerGroup::countFreezedPlayingNum(void)const",false
