Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15SeListenerPoserC2ERKN4sead14SafeStringBaseIcEEfbRKNS1_7Vector3IfEEbbf","al::SeListenerPoser::SeListenerPoser(sead::SafeStringBase<char> const&,float,bool,sead::Vector3<float> const&,bool,bool,float)",false
"_ZN2al15SeListenerPoser20setBaseToMiddleRatioEf","al::SeListenerPoser::setBaseToMiddleRatio(float)",false
"_ZN2al15SeListenerPoser16calcListenerPoseEPN4sead8Matrix34IfEEPNS1_7Vector3IfEES7_S4_RKNS_16ISeListenerParamE","al::SeListenerPoser::calcListenerPose(sead::Matrix34<float> *,sead::Vector3<float> *,sead::Vector3<float> *,sead::Matrix34<float> *,al::ISeListenerParam const&)",false
"_ZN2al15SeListenerPoser17tryCalcViewMatrixEPN4sead8Matrix34IfEERKNS1_7Vector3IfEES8_S8_","al::SeListenerPoser::tryCalcViewMatrix(sead::Matrix34<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al15SeListenerPoserD2Ev","al::SeListenerPoser::~SeListenerPoser()",false
"_ZN2al15SeListenerPoserD0Ev","al::SeListenerPoser::~SeListenerPoser()",false
"_ZNK2al15SeListenerPoser7getNameEv","al::SeListenerPoser::getName(void)const",false
"_ZNK2al15SeListenerPoser17isUseLineListenerEv","al::SeListenerPoser::isUseLineListener(void)const",false
"_ZN2al30SeListenerPoserAdjustMiddlePosC1ERKN4sead14SafeStringBaseIcEE","al::SeListenerPoserAdjustMiddlePos::SeListenerPoserAdjustMiddlePos(sead::SafeStringBase<char> const&)",false
"_ZN2al30SeListenerPoserAdjustMiddlePos16calcListenerPoseEPN4sead8Matrix34IfEEPNS1_7Vector3IfEES7_S4_RKNS_16ISeListenerParamE","al::SeListenerPoserAdjustMiddlePos::calcListenerPose(sead::Matrix34<float> *,sead::Vector3<float> *,sead::Vector3<float> *,sead::Matrix34<float> *,al::ISeListenerParam const&)",false
"_ZN2al30SeListenerPoserAdjustMiddlePosD0Ev","al::SeListenerPoserAdjustMiddlePos::~SeListenerPoserAdjustMiddlePos()",false
