Mangled Symbol, Demangled Symbol, Is Matched
"_ZN3agl3env26CubeMapFilterImportanceGGXC2Ev","agl::env::CubeMapFilterImportanceGGX::CubeMapFilterImportanceGGX(void)",false
"_ZN3agl3env26CubeMapFilterImportanceGGXD2Ev","agl::env::CubeMapFilterImportanceGGX::~CubeMapFilterImportanceGGX()",false
"_ZN3agl3env26CubeMapFilterImportanceGGXD0Ev","agl::env::CubeMapFilterImportanceGGX::~CubeMapFilterImportanceGGX()",false
"_ZN3agl3env26CubeMapFilterImportanceGGX7calcGPUERKN4sead7Vector3IfEE","agl::env::CubeMapFilterImportanceGGX::calcGPU(sead::Vector3<float> const&)",false
"_ZNK3agl3env26CubeMapFilterImportanceGGX14generateMipMapEPNS_11DrawContextERKNS_11TextureDataE","agl::env::CubeMapFilterImportanceGGX::generateMipMap(agl::DrawContext *,agl::TextureData const&)const",false
"_ZNK3agl3env26CubeMapFilterImportanceGGX13drawGGXFilterEPNS_11DrawContextERKNS_11TextureDataEb","agl::env::CubeMapFilterImportanceGGX::drawGGXFilter(agl::DrawContext *,agl::TextureData const&,bool)const",false
"_ZN3agl3env26CubeMapFilterImportanceGGX10genMessageEPN4sead6hostio7ContextE","agl::env::CubeMapFilterImportanceGGX::genMessage(sead::hostio::Context *)",false
"_ZN3agl3env26CubeMapFilterImportanceGGX19listenPropertyEventEPKN4sead6hostio13PropertyEventE","agl::env::CubeMapFilterImportanceGGX::listenPropertyEvent(sead::hostio::PropertyEvent const*)",false
"_ZN2al10CubeMapMgr11UpdateAgentC2Ev","al::CubeMapMgr::UpdateAgent::UpdateAgent(void)",false
"_ZN2al10CubeMapMgr11UpdateAgentD2Ev","al::CubeMapMgr::UpdateAgent::~UpdateAgent()",false
"_ZN2al10CubeMapMgr11UpdateAgent5setupEPNS0_11CreatorUnitES3_PNS0_12ReservedUnitEjPKS0_","al::CubeMapMgr::UpdateAgent::setup(al::CubeMapMgr::CreatorUnit *,al::CubeMapMgr::CreatorUnit *,al::CubeMapMgr::ReservedUnit *,unsigned int,al::CubeMapMgr const*)",false
"_ZN2al10CubeMapMgr11UpdateAgent9terminateEv","al::CubeMapMgr::UpdateAgent::terminate(void)",false
"_ZNK2al10CubeMapMgr11UpdateAgent18getRenderBufferPtrEv","al::CubeMapMgr::UpdateAgent::getRenderBufferPtr(void)const",false
"_ZN2al10CubeMapMgr11UpdateAgent6updateEv","al::CubeMapMgr::UpdateAgent::update(void)",false
"_ZN2al10CubeMapMgr20getCubeMapProjectionEPN4sead21PerspectiveProjectionEff","al::CubeMapMgr::getCubeMapProjection(sead::PerspectiveProjection *,float,float)",false
"_ZN2al10CubeMapMgr16getCubeMapCameraEPN4sead12DirectCameraEjRKNS1_7Vector3IfEE","al::CubeMapMgr::getCubeMapCamera(sead::DirectCamera *,unsigned int,sead::Vector3<float> const&)",false
"_ZN2al10CubeMapMgr11UpdateAgent5beginEPN3agl11DrawContextEj","al::CubeMapMgr::UpdateAgent::begin(agl::DrawContext *,unsigned int)",false
"_ZN2al10CubeMapMgr11UpdateAgent3endEPN3agl11DrawContextE","al::CubeMapMgr::UpdateAgent::end(agl::DrawContext *)",false
"_ZN2al10CubeMapMgr11UpdateAgent7backendEPN3agl11DrawContextE","al::CubeMapMgr::UpdateAgent::backend(agl::DrawContext *)",false
"_ZN2al10CubeMapMgr11CreatorUnit14generateMipMapEPN3agl11DrawContextEjj","al::CubeMapMgr::CreatorUnit::generateMipMap(agl::DrawContext *,unsigned int,unsigned int)",false
"_ZN2al10CubeMapMgr11CreatorUnit9encodeHDREPN3agl11DrawContextEPNS2_3env7CubeMapEPNS0_12ReservedUnitE","al::CubeMapMgr::CreatorUnit::encodeHDR(agl::DrawContext *,agl::env::CubeMap *,al::CubeMapMgr::ReservedUnit *)",false
"_ZN2al10CubeMapMgr4Unit10outputFileEPN3agl11DrawContextERKN4sead14SafeStringBaseIcEENS0_13HDREncodeTypeEb","al::CubeMapMgr::Unit::outputFile(agl::DrawContext *,sead::SafeStringBase<char> const&,al::CubeMapMgr::HDREncodeType,bool)",false
"_ZN2al10CubeMapMgr4UnitC2Ev","al::CubeMapMgr::Unit::Unit(void)",false
"_ZN2al10CubeMapMgr4UnitD2Ev","al::CubeMapMgr::Unit::~Unit()",false
"_ZN2al10CubeMapMgr4UnitD0Ev","al::CubeMapMgr::Unit::~Unit()",false
"_ZN2al10CubeMapMgr4Unit10initializeEPN4sead4HeapEPS0_","al::CubeMapMgr::Unit::initialize(sead::Heap *,al::CubeMapMgr*)",false
"_ZN2al10CubeMapMgr4Unit10initializeEPN4sead4HeapEPS0_N3agl14GPUMemVoidAddrEjS7_j","al::CubeMapMgr::Unit::initialize(sead::Heap *,al::CubeMapMgr*,agl::GPUMemVoidAddr,unsigned int,agl::GPUMemVoidAddr,unsigned int)",false
"_ZN2al10CubeMapMgr4Unit10initializeEPN4sead4HeapEPS0_PN3agl3env7CubeMapENS6_14GPUMemVoidAddrEj","al::CubeMapMgr::Unit::initialize(sead::Heap *,al::CubeMapMgr*,agl::env::CubeMap *,agl::GPUMemVoidAddr,unsigned int)",false
"_ZN2al10CubeMapMgr4Unit8reformatERKN3agl11TextureDataE","al::CubeMapMgr::Unit::reformat(agl::TextureData const&)",false
"_ZN2al10CubeMapMgr4Unit8reformatEN3agl13TextureFormatEjj","al::CubeMapMgr::Unit::reformat(agl::TextureFormat,unsigned int,unsigned int)",false
"_ZN2al10CubeMapMgr11CreatorUnit18extractHeadElementEPN3agl11DrawContextEPNS2_11TextureDataERKNS2_14TextureSamplerEjbb","al::CubeMapMgr::CreatorUnit::extractHeadElement(agl::DrawContext *,agl::TextureData *,agl::TextureSampler const&,unsigned int,bool,bool)",false
"_ZN2al10CubeMapMgr11CreatorUnit19convolveHeadElementEPN3agl11DrawContextEPNS2_11TextureDataERKNS2_14TextureSamplerEb","al::CubeMapMgr::CreatorUnit::convolveHeadElement(agl::DrawContext *,agl::TextureData *,agl::TextureSampler const&,bool)",false
"_ZN2al10CubeMapMgr12ReservedUnitC2Ev","al::CubeMapMgr::ReservedUnit::ReservedUnit(void)",false
"_ZN2al10CubeMapMgr12ReservedUnit14updateNodeMetaEv","al::CubeMapMgr::ReservedUnit::updateNodeMeta(void)",false
"_ZN2al10CubeMapMgr12ReservedUnit19clearIlluminantInfoEv","al::CubeMapMgr::ReservedUnit::clearIlluminantInfo(void)",false
"_ZN2al10CubeMapMgr12ReservedUnitD2Ev","al::CubeMapMgr::ReservedUnit::~ReservedUnit()",false
"_ZThn400_N2al10CubeMapMgr12ReservedUnitD1Ev","`non-virtual thunk to'al::CubeMapMgr::ReservedUnit::~ReservedUnit()",false
"_ZN2al10CubeMapMgr12ReservedUnitD0Ev","al::CubeMapMgr::ReservedUnit::~ReservedUnit()",false
"_ZThn400_N2al10CubeMapMgr12ReservedUnitD0Ev","`non-virtual thunk to'al::CubeMapMgr::ReservedUnit::~ReservedUnit()",false
"_ZN2al10CubeMapMgr12ReservedUnit10initializeEPN4sead4HeapEPS0_N3agl14GPUMemVoidAddrEjS7_j","al::CubeMapMgr::ReservedUnit::initialize(sead::Heap *,al::CubeMapMgr*,agl::GPUMemVoidAddr,unsigned int,agl::GPUMemVoidAddr,unsigned int)",false
"_ZN2al10CubeMapMgr12ReservedUnit10initializeEPN4sead4HeapEPS0_PN3agl3env7CubeMapENS6_14GPUMemVoidAddrEj","al::CubeMapMgr::ReservedUnit::initialize(sead::Heap *,al::CubeMapMgr*,agl::env::CubeMap *,agl::GPUMemVoidAddr,unsigned int)",false
"_ZN2al10CubeMapMgr12ReservedUnit5sweepEv","al::CubeMapMgr::ReservedUnit::sweep(void)",false
