Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al29ShadowMaskCastInterpolateCubeC2EPKc","al::ShadowMaskCastInterpolateCube::ShadowMaskCastInterpolateCube(char const*)",false
"_ZN2al29ShadowMaskCastInterpolateCube7declareENS_22ShadowMaskDrawCategoryE","al::ShadowMaskCastInterpolateCube::declare(al::ShadowMaskDrawCategory)",false
"_ZN2al29ShadowMaskCastInterpolateCube16calcShadowMatrixEPN4sead8Matrix34IfEE","al::ShadowMaskCastInterpolateCube::calcShadowMatrix(sead::Matrix34<float> *)",false
"_ZN2al29ShadowMaskCastInterpolateCube6updateEv","al::ShadowMaskCastInterpolateCube::update(void)",false
"_ZN2al29ShadowMaskCastInterpolateCube11updateMultiEv","al::ShadowMaskCastInterpolateCube::updateMulti(void)",false
"_ZN2al29ShadowMaskCastInterpolateCube8addMultiEv","al::ShadowMaskCastInterpolateCube::addMulti(void)",false
"_ZN2al29ShadowMaskCastInterpolateCube18createMtxConnectorEv","al::ShadowMaskCastInterpolateCube::createMtxConnector(void)",false
"_ZN2al29ShadowMaskCastInterpolateCube9readParamERKNS_9ByamlIterE","al::ShadowMaskCastInterpolateCube::readParam(al::ByamlIter const&)",false
"_ZN2al29ShadowMaskCastInterpolateCubeD2Ev","al::ShadowMaskCastInterpolateCube::~ShadowMaskCastInterpolateCube()",false
"_ZN2al29ShadowMaskCastInterpolateCubeD0Ev","al::ShadowMaskCastInterpolateCube::~ShadowMaskCastInterpolateCube()",false
"_ZNK2al29ShadowMaskCastInterpolateCube17getShadowMaskTypeEv","al::ShadowMaskCastInterpolateCube::getShadowMaskType(void)const",false
