Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13YamlFormatterC2Ev","al::YamlFormatter::YamlFormatter(void)",false
"_ZN2al13YamlFormatterD2Ev","al::YamlFormatter::~YamlFormatter()",false
"_ZN2al13YamlFormatterD0Ev","al::YamlFormatter::~YamlFormatter()",false
"_ZN2al13YamlFormatter13startDocumentEv","al::YamlFormatter::startDocument(void)",false
"_ZN2al13YamlFormatter11writeStringEPKcz","al::YamlFormatter::writeString(char const*,...)",false
"_ZN2al13YamlFormatter9startHashEPKc","al::YamlFormatter::startHash(char const*)",false
"_ZN2al13YamlFormatter11writeIndentEv","al::YamlFormatter::writeIndent(void)",false
"_ZN2al13YamlFormatter7endHashEv","al::YamlFormatter::endHash(void)",false
"_ZN2al13YamlFormatter10startArrayEv","al::YamlFormatter::startArray(void)",false
"_ZN2al13YamlFormatter8endArrayEv","al::YamlFormatter::endArray(void)",false
"_ZN2al13YamlFormatter13writeHashBoolEPKcb","al::YamlFormatter::writeHashBool(char const*,bool)",false
"_ZN2al13YamlFormatter12writeHashIntEPKci","al::YamlFormatter::writeHashInt(char const*,int)",false
"_ZN2al13YamlFormatter13writeHashUIntEPKcj","al::YamlFormatter::writeHashUInt(char const*,unsigned int)",false
"_ZN2al13YamlFormatter14writeHashFloatEPKcf","al::YamlFormatter::writeHashFloat(char const*,float)",false
"_ZN2al13YamlFormatter14writeHashInt64EPKcl","al::YamlFormatter::writeHashInt64(char const*,long)",false
"_ZN2al13YamlFormatter15writeHashUInt64EPKcm","al::YamlFormatter::writeHashUInt64(char const*,unsigned long)",false
"_ZN2al13YamlFormatter15writeHashDoubleEPKcd","al::YamlFormatter::writeHashDouble(char const*,double)",false
"_ZN2al13YamlFormatter15writeHashStringEPKcS2_","al::YamlFormatter::writeHashString(char const*,char const*)",false
"_ZN2al13YamlFormatter16writeBlockStringEPKcS2_","al::YamlFormatter::writeBlockString(char const*,char const*)",false
"_ZN2al13YamlFormatter12writeHashV2fEPKcRKN4sead7Vector2IfEE","al::YamlFormatter::writeHashV2f(char const*,sead::Vector2<float> const&)",false
"_ZN2al13YamlFormatter14writeHashV2s32EPKcRKN4sead7Vector2IiEE","al::YamlFormatter::writeHashV2s32(char const*,sead::Vector2<int> const&)",false
"_ZN2al13YamlFormatter12writeHashV3fEPKcRKN4sead7Vector3IfEE","al::YamlFormatter::writeHashV3f(char const*,sead::Vector3<float> const&)",false
"_ZN2al13YamlFormatter12writeHashV4fEPKcRKN4sead7Vector4IfEE","al::YamlFormatter::writeHashV4f(char const*,sead::Vector4<float> const&)",false
"_ZN2al13YamlFormatter14writeHashBox3fEPKcRKN4sead9BoundBox3IfEE","al::YamlFormatter::writeHashBox3f(char const*,sead::BoundBox3<float> const&)",false
"_ZN2al13YamlFormatter14writeHashColorEPKcRKN4sead7Color4fE","al::YamlFormatter::writeHashColor(char const*,sead::Color4f const&)",false
"_ZN2al13YamlFormatter13writeHashNullEPKc","al::YamlFormatter::writeHashNull(char const*)",false
"_ZN2al13YamlFormatter14writeArrayBoolEb","al::YamlFormatter::writeArrayBool(bool)",false
"_ZN2al13YamlFormatter13writeArrayIntEi","al::YamlFormatter::writeArrayInt(int)",false
"_ZN2al13YamlFormatter14writeArrayUIntEj","al::YamlFormatter::writeArrayUInt(unsigned int)",false
"_ZN2al13YamlFormatter15writeArrayFloatEf","al::YamlFormatter::writeArrayFloat(float)",false
"_ZN2al13YamlFormatter16writeArrayStringEPKc","al::YamlFormatter::writeArrayString(char const*)",false
"_ZN2al13YamlFormatter15writeArrayInt64El","al::YamlFormatter::writeArrayInt64(long)",false
"_ZN2al13YamlFormatter16writeArrayUInt64Em","al::YamlFormatter::writeArrayUInt64(unsigned long)",false
"_ZN2al13YamlFormatter16writeArrayDoubleEd","al::YamlFormatter::writeArrayDouble(double)",false
"_ZN2al13YamlFormatter9setStreamEPN4sead11WriteStreamE","al::YamlFormatter::setStream(sead::WriteStream *)",false
