Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15RollingCubePoseC2Ev","al::RollingCubePose::RollingCubePose(void)",false
"_ZNK2al15RollingCubePose16isMovementRotateEv","al::RollingCubePose::isMovementRotate(void)const",false
"_ZNK2al15RollingCubePose15isMovementSlideEv","al::RollingCubePose::isMovementSlide(void)const",false
"_ZN2al15RollingCubePose11setCubeSizeERKN4sead9BoundBox3IfEE","al::RollingCubePose::setCubeSize(sead::BoundBox3<float> const&)",false
"_ZNK2al15RollingCubePose12calcNearPoseEPN4sead4QuatIfEERKS3_","al::RollingCubePose::calcNearPose(sead::Quat<float> *,sead::Quat<float> const&)const",false
"_ZNK2al15RollingCubePose20fittingToBoundingBoxEPN4sead4QuatIfEEPNS1_7Vector3IfEE","al::RollingCubePose::fittingToBoundingBox(sead::Quat<float> *,sead::Vector3<float> *)const",false
"_ZNK2al15RollingCubePose21calcBoundingBoxCenterEPN4sead7Vector3IfEE","al::RollingCubePose::calcBoundingBoxCenter(sead::Vector3<float> *)const",false
"_ZNK2al15RollingCubePose21calcBoundingBoxCenterEPN4sead7Vector3IfEERKNS1_4QuatIfEERKS3_","al::RollingCubePose::calcBoundingBoxCenter(sead::Vector3<float> *,sead::Quat<float> const&,sead::Vector3<float> const&)const",false
"_ZN2al15RollingCubePose15setNextCubePoseEPKS0_","al::RollingCubePose::setNextCubePose(al::RollingCubePose const*)",false
"_ZNK2al15RollingCubePose19calcBottomFacePointEPN4sead7Vector3IfEE","al::RollingCubePose::calcBottomFacePoint(sead::Vector3<float> *)const",false
"_ZN2al15RollingCubePose4initERKNS_13PlacementInfoE","al::RollingCubePose::init(al::PlacementInfo const&)",false
"_ZNK2al15RollingCubePose12calcRotateQTEPN4sead4QuatIfEEPNS1_7Vector3IfEERKS3_RKS6_f","al::RollingCubePose::calcRotateQT(sead::Quat<float> *,sead::Vector3<float> *,sead::Quat<float> const&,sead::Vector3<float> const&,float)const",false
"_ZNK2al15RollingCubePose19calcBottomFaceIndexEv","al::RollingCubePose::calcBottomFaceIndex(void)const",false
